,Year,Quarter,Current assets,Total assets,Current liabilities,Shareholders' equity,Revenue,Cost of revenue,Net income,Earnings per share,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
Google Inc 2008-2,2008,2,15465,27605,2460,24338,5186,2111,1307,4.12,281,1779,6520,233.0881,0,0,0,0,1,0,0,0,0
Google Inc 2008-3,2008,3,16317,29180,2346,25913,5367,2148,1247,3.92,589,3546,7364,267.6326,0,0,0,0,1,0,0,0,0
Google Inc 2008-4,2008,4,17963,30807,2224,27475,5541,2173,1290,4.06,899,5731,8370,206.0661,0,0,0,0,1,0,0,0,0
Google Inc 2009-2,2009,2,22081,33513,2184,29848,5509,2102,1423,4.49,321,2250,10426,177.2222,0,0,0,0,1,0,0,0,0
Google Inc 2009-3,2009,3,23835,35159,2001,31595,5523,2108,1485,4.66,632,3859,11911,209.7047,0,0,0,0,1,0,0,0,0
Google Inc 2009-4,2009,4,26354,37703,2322,33722,5945,2226,1639,5.13,943,6585,12087,243.8438,0,0,0,0,1,0,0,0,0
Google Inc 2010-2,2010,2,31132,42871,2922,38283,6775,2452,1955,6.06,264,2584,9192,284.6847,0,0,0,0,1,0,0,0,0
Google Inc 2010-3,2010,3,35161,48045,5747,40613,6820,2467,1840,5.71,530,4669,10713,219.965,0,0,0,0,1,0,0,0,0
Google Inc 2010-4,2010,4,39447,53342,8530,43290,7286,2552,2167,6.72,787,7555,11257,263.0731,0,0,0,0,1,0,0,0,0
Google Inc 2011-2,2011,2,43310,59960,9332,48851,8575,2936,1798,5.51,301,3172,12415,296.1962,0,0,0,0,1,0,0,0,0
Google Inc 2011-3,2011,3,46442,64861,7798,51991,9026,3172,2505,7.68,648,6691,10320,260.7758,0,0,0,0,1,0,0,0,0
Google Inc 2011-4,2011,4,50042,69088,8888,54830,9720,3378,2729,8.33,1011,10641,10630,248.008,0,0,0,0,1,0,0,0,0
Google Inc 2012-2,2012,2,56859,77144,9742,61712,10645,3789,2890,8.75,378,3694,23108,323.7838,0,0,0,0,1,0,0,0,0
Google Inc 2012-3,2012,3,53857,86051,14028,64721,10964,1029,2785,8.42,851,7946,15437,290.5255,0,0,0,0,1,0,0,0,0
Google Inc 2012-4,2012,4,56821,89730,14434,68028,11526,2114,2176,6.53,1358,11950,16260,381.2713,0,0,0,0,1,0,0,0,0
Google Inc 2013-2,2013,2,62808,96692,13252,75473,12951,808,3324,9.94,584,3633,15375,400.996,0,0,0,0,1,0,0,0,0
Google Inc 2013-3,2013,3,66861,101182,15329,78852,13107,868,2554,9.54,1331,8338,16164,444.3844,0,0,0,0,1,0,0,0,0
Google Inc 2013-4,2013,4,68858,105068,14475,82989,13754,1004,2955,8.75,2024,13421,15242,443.9439,0,0,0,0,1,0,0,0,0
Google Inc 2014-2,2014,2,75314,116526,16270,91711,15420,5961,3650,5.04,816,4391,16639,568.013,0,0,0,0,1,0,0,0,0
Google Inc 2014-3,2014,3,77905,121608,17097,95749,15955,6114,3490,4.99,1629,10018,19620,591.49,0,0,0,0,1,0,0,0,0
Google Inc 2014-4,2014,4,80115,125781,17920,98815,16523,6695,2998,4.09,2513,16012,15605,579.63,0,0,0,0,1,0,0,0,0
Google Inc 2015-2,2015,2,80313,133400,14336,108448,17258,6356,3586,5.2,938,6617,16976,549.49,0,0,0,0,1,0,0,0,0
Google Inc 2015-3,2015,3,84164,138807,17362,111783,17727,6583,3931,4.93,1949,13602,18453,543.3,0,0,0,0,1,0,0,0,0
Google Inc 2015-4,2015,4,88103,144281,18457,116241,18675,7037,3979,5.73,2979,19609,18068,642.0,0,0,0,0,1,0,0,0,0
Alphabet Inc 2016-2,2016,2,90955,149747,17684,123569,20257,7648,4207,6.02,1155,7658,15111,769.67,0,0,0,0,1,0,0,0,0
Alphabet Inc 2016-3,2016,3,94238,154292,17341,127879,21500,8130,4877,7.0,2426,16778,13627,710.25,0,0,0,0,1,0,0,0,0
Alphabet Inc 2016-4,2016,4,98546,159948,14323,134103,22451,8699,5061,7.25,3803,26623,9406,800.38,0,0,0,0,1,0,0,0,0
Alphabet Inc 2017-2,2017,2,108794,172756,15256,144949,24750,9795,5426,7.73,1287,9548,18132,856.75,0,0,0,0,1,0,0,0,0
Alphabet Inc 2017-3,2017,3,112386,178621,18685,148286,26010,10373,3524,5.01,2711,16951,15711,919.46,0,0,0,0,1,0,0,0,0
Alphabet Inc 2017-4,2017,4,119345,189536,20693,157100,27772,11148,6732,9.57,4272,26823,10581,967.47,0,0,0,0,1,0,0,0,0
Alphabet Inc 2018-2,2018,2,123761,206935,25394,160825,31146,13467,9401,13.33,1791,11642,12658,1012.63,0,0,0,0,1,0,0,0,0
Alphabet Inc 2018-3,2018,3,124157,211610,29903,162000,32657,13883,3195,4.54,3653,21774,14148,1142.11,0,0,0,0,1,0,0,0,0
Alphabet Inc 2018-4,2018,4,129702,221538,31301,169840,33740,14281,9192,13.06,5791,34984,13443,1208.53,0,0,0,0,1,0,0,0,0
