,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
International Business Machines 2008-2,2008,2,24502.0,14336.0,2319.0,1.65,48425.0,121823.0,47048.0,28728.0,1030.0,4202.0,10786.0,83.4892,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2008-3,2008,3,26820.0,15221.0,2765.0,1.98,46312.0,120928.0,44683.0,28264.0,2096.0,8453.0,9626.0,85.8311,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2008-4,2008,4,25302.0,14342.0,2824.0,2.05,44187.0,115910.0,44752.0,27519.0,3144.0,12191.0,9755.0,79.5623,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2009-2,2009,2,21711.0,12280.0,2295.0,1.7,43995.0,101944.0,37425.0,13693.0,917.0,4386.0,12294.0,71.2973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2009-3,2009,3,23250.0,12669.0,3103.0,2.32,44435.0,103655.0,36430.0,15380.0,1853.0,9127.0,11678.0,76.9784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2009-4,2009,4,23566.0,12938.0,3214.0,2.4,43446.0,103675.0,32960.0,18396.0,2806.0,14325.0,9532.0,86.9714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2010-2,2010,2,22857.0,12880.0,2601.0,1.97,45697.0,105208.0,34575.0,22033.0,924.0,4437.0,12472.0,95.4559,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2010-3,2010,3,23724.0,12915.0,3386.0,2.61,44895.0,103420.0,34993.0,21059.0,1823.0,8203.0,10325.0,91.6959,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2010-4,2010,4,24271.0,13270.0,3589.0,2.82,44469.0,107174.0,35443.0,22238.0,2737.0,12754.0,9859.0,101.9765,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2011-2,2011,2,24607.0,13749.0,2863.0,2.31,47524.0,112960.0,40387.0,22671.0,918.0,3792.0,12763.0,124.541,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2011-3,2011,3,26666.0,14282.0,3664.0,3.0,46937.0,113474.0,39843.0,23127.0,1816.0,8071.0,11714.0,132.9189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2011-4,2011,4,26157.0,13984.0,3839.0,3.19,45373.0,110158.0,36028.0,22291.0,2701.0,12750.0,11303.0,132.5417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2012-2,2012,2,24673.0,13555.0,3066.0,2.61,48847.0,115347.0,38209.0,20701.0,847.0,4291.0,11835.0,161.4846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2012-3,2012,3,25783.0,13502.0,3881.0,3.34,47392.0,113832.0,38903.0,20472.0,1706.0,8726.0,10864.0,151.6017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2012-4,2012,4,24747.0,13016.0,3824.0,3.33,48141.0,115778.0,39499.0,21541.0,2572.0,13240.0,11909.0,163.6309,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2013-2,2013,2,23408.0,12730.0,3032.0,2.7,48949.0,117258.0,42122.0,19092.0,822.0,4023.0,10585.0,166.5365,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2013-3,2013,3,24924.0,12792.0,3226.0,2.91,47911.0,115153.0,41037.0,17756.0,1632.0,7197.0,9558.0,150.6941,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2013-4,2013,4,23720.0,12341.0,4041.0,3.68,47533.0,117845.0,39222.0,19877.0,2457.0,10957.0,10072.0,147.5678,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2014-2,2014,2,22484.0,11941.0,2384.0,2.29,47959.0,122646.0,41058.0,16607.0,802.0,3326.0,9409.0,155.6726,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2014-3,2014,3,24364.0,12389.0,4137.0,4.12,48182.0,124314.0,42433.0,17377.0,1628.0,6905.0,9715.0,150.018,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2014-4,2014,4,22397.0,11523.0,18.0,997.7,47163.0,118911.0,42306.0,14255.0,2428.0,10809.0,9561.0,151.5692,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2015-2,2015,2,19590.0,10138.0,2328.0,992.3,46316.0,112037.0,35640.0,12141.0,670.0,3610.0,8796.0,130.6957,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2015-3,2015,3,20813.0,10423.0,3449.0,986.7,45186.0,112729.0,35535.0,13684.0,1335.0,7494.0,8393.0,137.126,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2015-4,2015,4,19280.0,9844.0,2950.0,979.0,42112.0,108649.0,33732.0,13294.0,1981.0,11729.0,9480.0,120.6965,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2016-2,2016,2,18684.0,9999.0,2014.0,964.4,47623.0,118856.0,34664.0,14925.0,677.0,5645.0,14354.0,130.7271,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2016-3,2016,3,20238.0,10536.0,2504.0,960.5,43524.0,118056.0,33585.0,15733.0,1382.0,9088.0,10017.0,133.1068,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2016-4,2016,4,19226.0,10213.0,2853.0,957.3,41433.0,115606.0,34447.0,17010.0,2106.0,13301.0,9039.0,138.8917,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2017-2,2017,2,18155.0,10383.0,1750.0,947.8,42889.0,117495.0,36481.0,18327.0,709.0,3955.0,10096.0,156.3977,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2017-3,2017,3,19289.0,10495.0,2331.0,939.6,45013.0,120495.0,35966.0,18419.0,1439.0,7421.0,11696.0,140.8026,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2017-4,2017,4,19153.0,10353.0,2726.0,933.2,44742.0,121636.0,31697.0,19627.0,2231.0,10991.0,10915.0,134.1322,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
International Business Machines 2018-2,2018,2,19072.0,10825.0,1679.0,925.4,49122.0,125285.0,35733.0,18166.0,774.0,4602.0,12262.0,139.9877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
