,Year,Month,Day,Adjusted close price,AMD,AAPL,CSCO,GOOGL,IBM,INTC,NVDA,TXN
0,2008,1,2,96.2500,7.1400,24.2913,20.6960,342.9379,73.8738,17.5161,30.4223,24.1292
1,2008,1,3,95.2100,6.7700,24.3026,20.8598,343.0080,74.0220,17.0463,30.1827,23.5996
2,2008,1,4,88.7900,6.2500,22.4474,20.3685,328.8288,71.3617,15.6643,27.6483,22.7717
3,2008,1,7,88.8200,6.0800,22.1470,20.3763,324.9500,70.5996,15.8094,24.7913,22.7419
4,2008,1,8,87.8800,6.0000,21.3503,19.8305,316.1562,68.8637,15.3810,25.3166,22.7493
5,2008,1,9,85.2200,5.5300,22.3664,20.4621,326.9269,69.3718,15.7196,26.6253,22.7344
6,2008,1,10,84.2600,5.9600,22.1943,20.4621,323.6887,70.5079,15.5745,26.0723,22.6971
7,2008,1,11,81.0800,6.2500,21.5298,20.1736,319.4445,68.9202,15.1945,24.9295,22.3018
8,2008,1,14,82.8700,6.4100,22.2891,20.5011,327.2372,72.6318,15.9476,26.5884,22.6747
9,2008,1,15,80.2400,6.1200,21.0748,20.1580,319.1441,71.8556,15.6781,24.6346,22.1675
10,2008,1,16,80.3500,6.5700,19.9029,19.6121,308.2833,71.7145,13.7365,21.8514,22.0035
11,2008,1,17,80.1200,6.3400,20.0587,18.9727,300.6957,71.3405,13.3565,21.4735,21.8468
12,2008,1,18,79.7600,7.0700,20.1173,18.9493,300.4254,72.9635,13.1285,22.8928,21.9736
13,2008,1,22,78.4800,6.8300,19.4042,18.3098,292.4675,71.4252,12.8590,21.7500,21.6156
14,2008,1,23,73.9700,7.5600,17.3383,18.7387,274.5846,74.8687,13.8056,22.1463,22.6002
15,2008,1,24,77.6700,7.5800,16.9057,19.5809,287.5325,75.4403,14.2962,23.8420,22.6897
16,2008,1,25,77.6000,7.1500,16.2088,18.8713,283.4835,73.7538,13.8194,22.9942,22.2198
17,2008,1,28,75.8200,7.4600,16.2088,18.7933,278.2683,74.0784,14.0198,22.7177,22.6151
18,2008,1,29,73.9500,7.6100,16.3995,18.7621,275.5355,74.8687,14.1649,23.4181,22.7273
19,2008,1,30,74.2100,7.6100,16.4793,18.9961,274.4094,74.5512,14.2962,23.2153,23.0865
20,2008,1,31,77.7000,7.5900,16.8758,19.1052,282.4324,75.5814,14.5795,22.6624,23.1614
21,2008,2,1,74.6300,8.0000,16.6751,19.4483,258.2082,76.9716,15.0425,24.7544,23.5879
22,2008,2,4,73.9500,7.9200,16.4132,18.5750,247.9630,76.1601,14.6486,23.9803,23.3185
23,2008,2,5,72.0900,7.2100,16.1277,18.1383,253.6537,74.1066,13.9868,22.4781,22.2559
24,2008,2,6,68.4900,6.7400,15.2101,17.9979,251.1061,73.3770,13.8478,22.4043,22.0688
25,2008,2,7,70.9100,6.5900,15.1154,18.2318,252.7277,72.4916,13.9381,22.6255,21.8592
26,2008,2,8,73.5000,6.3400,15.6440,18.3566,258.6036,73.1504,14.0911,23.0310,22.1511
27,2008,2,11,75.1900,6.2800,16.1390,18.3410,260.8409,74.4750,14.3761,23.1047,22.5702
28,2008,2,12,74.4500,6.4100,15.5667,18.2708,259.3043,75.4596,14.5290,23.9618,22.6824
29,2008,2,13,77.7300,6.7000,16.1327,18.7621,267.5776,76.7983,14.7445,24.9019,23.0865
30,2008,2,14,75.8000,6.5300,15.8909,18.3488,266.3914,75.1762,14.2232,20.8376,22.6151
31,2008,2,15,72.9600,6.4500,15.5380,18.1695,265.0851,75.1975,13.9798,20.5242,22.5477
32,2008,2,19,72.0800,6.5000,15.2326,17.8419,254.7297,74.3758,14.0146,20.2201,22.3008
33,2008,2,20,73.6400,6.8300,15.4370,18.0915,254.7548,76.3946,14.1675,20.0727,22.6824
34,2008,2,21,69.9000,6.9600,15.1528,18.0837,251.6817,75.7429,14.1119,19.6211,22.4205
35,2008,2,22,72.0800,6.7100,14.8935,18.4034,254.1542,76.5504,13.7783,20.5703,22.5777
36,2008,2,25,73.2700,6.9700,14.9284,18.5594,243.4635,77.9742,13.8617,20.5611,22.7348
37,2008,2,26,71.6900,7.1300,14.8548,18.7699,232.3273,81.0200,14.3830,20.7362,23.3110
38,2008,2,27,70.8700,7.2800,15.3298,19.4561,236.6667,82.4934,14.4387,21.0588,23.5131
39,2008,2,28,67.8500,7.0200,16.1963,19.2300,237.9329,81.6292,14.2440,20.2662,23.2138
40,2008,2,29,64.4700,7.2100,15.5867,19.0195,235.8258,80.6517,13.8825,19.7132,22.4205
41,2008,3,3,62.4300,6.7600,15.1765,19.0273,228.7387,80.9138,13.9103,19.4828,22.3981
42,2008,3,4,65.3400,6.7600,15.5368,18.9415,222.5225,81.9621,13.9034,19.2893,21.9041
43,2008,3,5,64.9900,6.8400,15.5206,18.9259,224.0741,81.7355,14.0424,19.5105,22.2634
44,2008,3,6,62.7400,6.4900,15.0767,18.6685,216.5666,79.7025,13.8130,18.2847,21.8518
45,2008,3,7,64.0900,6.4900,15.2413,18.8011,216.8919,80.7084,13.9520,18.0175,21.9266
46,2008,3,10,63.4700,6.1600,14.9221,18.7075,207.0170,80.7580,13.9868,16.9853,22.1885
47,2008,3,11,67.1500,6.4800,15.8772,19.6121,220.1401,82.5147,14.7376,17.5474,21.5225
48,2008,3,12,66.5100,6.4300,15.7126,19.6043,220.3103,82.9255,14.6820,17.0682,21.2381
49,2008,3,13,68.3200,6.7300,15.9507,19.4561,221.7267,82.1038,14.7932,18.1557,21.7171
50,2008,3,14,68.2200,6.3800,15.7849,18.9649,219.1792,81.6221,14.3622,16.8839,21.1109
51,2008,3,17,66.5300,6.3400,15.7998,18.9415,210.1451,81.8488,14.4943,16.4599,21.4626
52,2008,3,18,71.7000,6.3900,16.5591,19.9474,219.7998,83.8746,15.1199,17.4829,22.0613
53,2008,3,19,70.1700,6.1500,16.1664,19.0818,216.2162,82.8334,14.6611,16.2756,21.0361
54,2008,3,20,73.1900,6.1100,16.6152,19.3158,216.9920,83.8180,15.1199,17.0682,21.1633
55,2008,3,24,75.9500,6.2100,17.3957,19.9942,230.5105,84.3351,15.3841,18.4598,21.7545
56,2008,3,25,75.1700,6.3000,17.5764,20.0800,225.6156,83.5630,15.4814,18.7271,21.9191
57,2008,3,26,73.8000,6.2200,18.0851,19.3236,229.3243,82.8121,15.1964,18.1281,21.6647
58,2008,3,27,70.8000,6.1600,17.4854,18.8557,222.2623,81.8276,14.6611,17.8700,21.3953
59,2008,3,28,69.7600,5.9100,17.8295,18.7777,219.2593,81.1546,14.4526,18.1373,21.2082
60,2008,3,31,71.3000,5.8900,17.8906,18.7855,220.4555,81.5584,14.7237,18.2387,21.1558
61,2008,4,1,76.7000,6.0700,18.6424,19.4795,233.0881,82.5147,15.2729,19.3538,21.9416
62,2008,4,2,77.3700,6.1900,18.3881,19.4639,233.0831,81.3246,15.1894,18.7640,22.1062
63,2008,4,3,74.9400,6.2600,18.9017,18.8947,227.7878,82.1817,15.2451,18.4138,22.5477
64,2008,4,4,76.8700,6.2300,19.0850,19.0195,235.7808,81.9976,15.2033,17.3078,22.3681
65,2008,4,7,76.9000,6.3400,19.4353,18.6685,238.6487,82.3872,15.1199,17.7225,22.4953
66,2008,4,8,77.3000,6.0300,19.0551,18.6841,234.1391,82.3588,14.6542,17.6212,21.8592
67,2008,4,9,74.3900,6.2600,18.8805,18.3488,232.3273,82.7130,14.8905,17.9714,22.0912
68,2008,4,10,74.8300,6.2700,19.2683,18.7465,234.7748,84.1367,15.3493,18.3216,22.5028
69,2008,4,11,71.9900,6.0100,18.3444,18.2318,228.9539,82.1676,14.7654,17.0774,22.0164
70,2008,4,14,72.6100,5.8600,18.4242,18.1773,226.0561,83.0742,14.3830,16.5060,21.4926
71,2008,4,15,72.5000,5.7800,18.4990,18.0213,223.6436,82.9963,14.5360,16.6996,21.4926
72,2008,4,16,74.5900,6.0700,19.1623,18.5828,227.7427,85.3338,15.3841,17.3631,22.1586
73,2008,4,17,74.0400,6.1900,19.2608,18.6295,224.9950,87.1826,15.3702,17.1235,21.5449
74,2008,4,18,80.1000,6.1100,20.0774,19.1130,269.9750,88.1176,15.6761,17.5290,22.1511
75,2008,4,21,80.1800,6.1400,20.9651,19.4094,269.1642,88.0822,15.6135,18.3124,22.8920
76,2008,4,22,79.6000,5.9600,19.9727,19.4328,277.7778,87.6005,15.2868,17.9714,21.5674
77,2008,4,23,81.0000,5.9200,20.3080,19.8382,273.5185,87.5510,15.6830,18.8377,21.7470
78,2008,4,24,77.6900,6.0300,21.0623,20.2983,271.7918,87.9689,15.7734,18.3861,22.1511
79,2008,4,25,80.8600,6.0600,21.1608,19.9630,272.3023,87.1826,15.6830,18.5704,22.1212
80,2008,4,28,81.9700,6.0000,21.4737,19.7681,276.3363,86.1980,15.7873,18.2387,22.0461
81,2008,4,29,80.7400,6.0200,21.8241,19.8928,279.5145,87.0197,15.7247,18.6165,22.2713
82,2008,4,30,78.6300,5.9600,21.6869,19.9942,287.4324,85.4968,15.4745,18.9391,21.8959
83,2008,5,1,79.3600,6.2200,22.4412,20.7974,296.8368,87.5580,16.1905,19.8146,22.2263
84,2008,5,2,77.3100,6.1600,22.5584,20.8598,290.9359,87.2535,16.3921,20.7546,22.3014
85,2008,5,5,75.9200,6.5300,23.0309,20.4933,297.7477,86.4388,16.2592,20.2385,21.9785
86,2008,5,6,75.7100,7.1200,23.2715,20.5323,293.4735,86.9985,16.4900,20.7639,22.2563
87,2008,5,7,73.1800,6.9100,22.7641,20.1034,289.7898,88.2929,16.2033,20.2846,22.1662
88,2008,5,8,72.7900,6.9300,23.0720,20.0410,291.7968,88.8477,16.3641,20.2293,22.3539
89,2008,5,9,72.4100,6.9400,22.8713,19.8772,286.8869,88.2360,16.3431,20.7639,22.3840
90,2008,5,12,74.5300,7.1600,23.4585,20.1502,292.7628,89.0753,16.5319,20.1740,22.4741
91,2008,5,13,74.5600,7.1900,23.6829,20.1892,291.7918,90.0283,16.6159,19.7593,22.4365
92,2008,5,14,74.2000,7.1600,23.2217,20.0800,288.4384,90.6969,16.6718,20.3399,22.8645
93,2008,5,15,76.1200,7.4100,23.6543,20.6648,290.7908,91.3654,17.4620,21.9159,23.5478
94,2008,5,16,76.4600,7.2600,23.3912,20.6726,290.3253,90.9102,17.4830,22.4965,23.8707
95,2008,5,19,82.2900,7.1000,22.8900,20.5635,289.0490,89.9643,17.3991,22.0265,24.4264
96,2008,5,20,80.7200,7.1200,23.1768,20.1580,289.5896,89.0326,16.8466,21.4551,24.1561
97,2008,5,21,78.3000,7.0800,22.2155,19.7837,275.2703,87.9231,16.5459,21.2800,24.1260
98,2008,5,22,79.2600,7.0700,22.0734,19.9474,275.0050,88.6912,16.6998,21.7961,23.9008
99,2008,5,23,78.3500,6.8800,22.5871,19.5731,272.5826,88.3356,16.3711,21.2984,23.8407
100,2008,5,27,80.6200,6.9200,23.2428,19.9552,280.7307,90.5546,16.5040,21.5288,24.2837
101,2008,5,28,80.0800,6.8200,23.3152,19.9162,284.4044,92.1336,16.4131,21.7315,24.3964
102,2008,5,29,80.3500,6.7700,23.2753,20.4387,291.7918,92.2545,16.1823,21.6763,24.5540
103,2008,5,30,81.6200,6.8800,23.5321,20.8364,293.1932,92.0553,16.2103,22.7637,24.3888
104,2008,6,2,80.2300,6.8000,23.2017,20.5479,287.7878,90.5831,16.2242,22.8559,24.1185
105,2008,6,3,80.1100,6.8100,23.1107,20.5401,283.9339,90.9245,16.0424,22.0818,23.7055
106,2008,6,4,81.5000,7.1900,23.0883,20.8676,286.3964,90.7182,16.4201,22.3398,24.0059
107,2008,6,5,84.5100,7.7800,23.6169,21.4758,293.4435,91.3726,16.6928,22.9020,24.0509
108,2008,6,6,80.6300,7.4300,23.1444,20.6960,283.7838,88.8619,16.0145,22.1739,23.4577
109,2008,6,9,79.4300,7.6800,22.6419,20.6103,279.2142,89.5163,15.9165,21.8329,23.5253
110,2008,6,10,79.6200,7.4300,23.1444,20.5557,277.3624,89.5731,15.8606,20.5427,22.8420
111,2008,6,11,77.2800,6.9600,22.5422,20.0020,272.8729,87.6599,15.2522,19.5842,22.3464
112,2008,6,12,76.1500,7.1400,21.6009,20.2437,276.7517,88.0866,15.4200,19.7040,22.1887
113,2008,6,13,79.1700,7.5200,21.4899,20.5635,286.0410,89.7225,15.8466,19.6395,22.6543
114,2008,6,16,81.7000,7.7100,22.0472,20.4855,286.6917,90.1208,15.9865,19.3722,22.6618
115,2008,6,17,82.9700,7.7200,22.6195,20.2515,285.0150,88.9757,15.7907,18.9022,22.4816
116,2008,6,18,82.5200,7.2900,22.2854,19.7135,281.4715,88.3071,15.5809,18.3492,22.0611
117,2008,6,19,84.2600,7.3300,22.5534,19.9006,280.3804,88.9188,15.9795,18.3032,22.5191
118,2008,6,20,81.1000,6.9900,21.8515,19.2144,273.4885,87.2972,15.6438,18.2110,22.0761
119,2008,6,23,80.6800,6.5500,21.5884,19.1442,272.8779,87.8093,15.6368,17.8331,21.7908
120,2008,6,24,79.6400,6.2400,21.5997,19.0896,271.4214,87.8093,15.6718,18.4230,21.7983
121,2008,6,25,80.5100,6.4300,22.1158,19.2612,275.7758,88.6058,15.8396,18.5243,22.2939
122,2008,6,26,76.3000,6.1300,20.9775,18.5750,264.6747,86.1521,15.0983,17.5751,21.5580
123,2008,6,27,74.6600,5.9500,21.2057,18.4112,264.2993,85.3839,15.0284,17.7686,21.4078
124,2008,6,30,73.3300,5.8300,20.8753,18.1383,263.4735,84.3029,15.0214,17.2525,21.1450
125,2008,7,1,73.6200,5.6500,21.7779,18.0525,267.6326,84.8292,15.0844,17.2802,20.7545
126,2008,7,2,71.4400,5.4400,20.9676,17.8108,263.7838,84.7083,14.6368,16.6166,20.4242
127,2008,7,3,72.0000,5.3000,21.2094,18.0291,268.7688,85.0212,14.4480,11.5109,20.6044
128,2008,7,7,72.4900,5.3800,21.8378,17.6002,272.2272,86.4153,14.4829,11.1515,20.5969
129,2008,7,8,75.0400,5.5300,22.3851,17.8419,277.5425,88.1080,14.6298,11.0870,20.7395
130,2008,7,9,70.6100,5.0600,21.7243,16.8282,271.0461,85.6329,13.8535,10.8934,20.0787
131,2008,7,10,70.6300,4.9600,22.0210,17.2571,270.5555,87.6101,14.4200,10.8658,20.4992
132,2008,7,11,68.5400,4.8400,21.5161,17.0154,267.1672,86.8562,14.4340,10.7552,20.6494
133,2008,7,14,66.2800,4.8200,21.6782,16.6099,261.0711,86.4437,14.3151,10.2667,20.3641
134,2008,7,15,67.0300,4.7200,21.1496,16.4071,258.3033,87.6243,14.4829,10.3773,20.3340
135,2008,7,16,71.8400,5.0600,21.5448,16.4539,268.0681,89.5731,14.6228,10.4326,21.0699
136,2008,7,17,72.1100,5.3000,21.4201,16.7814,266.9870,89.9856,15.3781,10.4695,21.8734
137,2008,7,18,69.1200,4.6500,20.5898,16.8906,240.9009,92.3825,15.4480,10.6538,21.6406
138,2008,7,21,68.4800,4.5900,20.7319,17.0309,234.6346,91.5077,15.4480,10.7183,21.4153
139,2008,7,22,67.9700,4.4100,20.1996,17.0777,238.7938,92.4608,15.4480,10.4879,18.2841
140,2008,7,23,70.5400,4.6700,20.7282,17.2883,244.8549,92.1194,15.5949,10.8013,18.7872
141,2008,7,24,78.7200,4.3700,19.8268,16.9686,238.0480,92.4608,15.1543,10.1653,17.9312
142,2008,7,25,78.3100,4.3600,20.2120,17.4910,246.2362,91.4152,15.3921,10.6538,18.0213
143,2008,7,28,75.9800,4.1900,19.2496,17.1401,238.7988,89.7936,15.1543,10.6262,17.9988
144,2008,7,29,78.2100,4.2100,19.5837,17.4832,241.7968,90.7965,15.5459,10.7367,18.3155
145,2008,7,30,78.2100,4.2300,19.9328,17.2883,241.5916,91.6499,15.5459,10.5801,18.4738
146,2008,7,31,76.3400,4.2100,19.8168,17.1479,237.1121,91.0240,15.5179,10.5432,18.3833
