,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,C1,C2,C3,C4,C5,C6
C4-0,2008,2,8683,11918,1049,8186,4083,12989,11708,3015,18418,6048,8990,1863,0,0,0,1,0,0
C4-1,2008,3,8302,12056,1151,8178,3936,11192,11110,3216,19862,6258,9198,2074,0,0,0,1,0,0
C4-2,2008,4,8693,12201,1238,8254,3980,12539,11725,2990,17589,6447,8650,2356,0,0,0,1,0,0
C4-3,2009,2,8380,13741,1565,7863,3978,11249,11996,3172,18262,6533,9514,2511,0,0,0,1,0,0
C4-4,2009,3,8686,12428,1627,8184,3691,12204,12049,2981,19613,6382,9484,2840,0,0,0,1,0,0
C4-5,2009,4,8406,11798,2117,7588,3927,12278,12557,2991,18654,6186,9689,2986,0,0,0,1,0,0
C4-6,2010,2,8926,13112,2335,8621,4187,11078,11991,2948,16647,6613,10198,3636,0,0,0,1,0,0
C4-7,2010,3,8314,11801,2648,7929,4204,11556,11901,2908,18601,6527,10398,2874,0,0,0,1,0,0
C4-8,2010,4,8513,13815,2746,8249,3644,12550,11745,3181,18955,5989,10124,3739,0,0,0,1,0,0
C4-9,2011,2,8118,11575,3181,7183,4167,12147,12067,3146,18276,6254,9649,3801,0,0,0,1,0,0
C4-10,2011,3,7874,11540,3855,7896,3942,12351,12346,3014,17103,5428,9806,4425,0,0,0,1,0,0
C4-11,2011,4,8178,12677,4590,8253,4011,11915,11847,2897,17793,5948,9721,4077,0,0,0,1,0,0
C4-12,2012,2,8378,11166,4932,8036,3976,11935,12691,3061,18468,5996,9951,4781,0,0,0,1,0,0
C4-13,2012,3,7616,13248,6111,7840,4295,11592,10922,3262,18713,6315,10316,5040,0,0,0,1,0,0
C4-14,2012,4,8300,13173,6436,7862,4276,11225,11558,3250,18060,6196,9907,6225,0,0,0,1,0,0
C4-15,2013,2,8697,11031,8624,8802,3968,11000,11086,3085,18890,6491,10090,5992,0,0,0,1,0,0
C4-16,2013,3,8210,13223,9301,8656,4365,11223,11783,3016,17714,6962,10024,6749,0,0,0,1,0,0
C4-17,2013,4,7859,12221,9754,7837,3791,11582,10560,3248,19772,6439,9317,7422,0,0,0,1,0,0
C4-18,2014,2,8123,12162,11507,8212,4158,12749,11396,3202,18430,6508,10873,9534,0,0,0,1,0,0
C4-19,2014,3,8761,11427,13380,8369,4162,12220,11243,3039,19772,5783,9872,7992,0,0,0,1,0,0
C4-20,2014,4,8437,12295,15089,8680,3680,11793,11694,3113,17886,6686,8996,10482,0,0,0,1,0,0
C4-21,2015,2,7877,12602,18433,8463,4319,11526,11937,3450,19098,6459,9832,9124,0,0,0,1,0,0
C4-22,2015,3,8528,12049,19626,8559,4313,12123,10855,3193,19620,6135,9223,14749,0,0,0,1,0,0
C4-23,2015,4,8149,11627,21992,7776,4034,11376,11828,3137,15763,6313,9752,6809,0,0,0,1,0,0
C4-24,2016,2,7926,12474,28745,8141,4076,12132,11224,3207,18883,6050,9592,12830,0,0,0,1,0,0
C4-25,2016,3,7891,11935,28398,8162,4159,12419,11983,3385,17704,5794,9349,12874,0,0,0,1,0,0
C4-26,2016,4,8059,11521,32289,7285,4433,11700,12229,3026,18826,6870,8929,14982,0,0,0,1,0,0
C4-27,2017,2,8721,11513,35096,8299,4230,13853,10769,2753,18330,6623,9628,13949,0,0,0,1,0,0
C4-28,2017,3,8371,12005,43287,7681,3301,12338,12792,2848,19759,6246,9331,20842,0,0,0,1,0,0
C4-29,2017,4,8829,12351,46330,8211,3961,12310,11078,3269,19449,6038,9781,23980,0,0,0,1,0,0
C4-30,2018,2,9109,12539,52149,7818,4058,11943,12343,3099,18535,6728,9698,15726,0,0,0,1,0,0
C4-31,2018,3,8253,13627,70398,8707,4146,11930,12221,3156,18003,6357,10051,29061,0,0,0,1,0,0
C4-32,2018,4,8385,11534,74959,7806,3970,11606,12044,3081,19117,6432,9823,17827,0,0,0,1,0,0
