,Year,Month,Day,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
0,2008,1,2,96.2500,7.1400,24.2913,20.6960,342.9379,74.7463,17.6125,30.4223,24.3111
1,2008,1,3,95.2100,6.7700,24.3026,20.8598,343.0080,74.8962,17.1401,30.1827,23.7775
2,2008,1,4,88.7900,6.2500,22.4474,20.3685,328.8288,72.2046,15.7505,27.6483,22.9434
3,2008,1,7,88.8200,6.0800,22.1470,20.3763,324.9500,71.4335,15.8964,24.7913,22.9133
4,2008,1,8,87.8800,6.0000,21.3503,19.8305,316.1562,69.6771,15.4657,25.3166,22.9208
5,2008,1,9,85.2200,5.5300,22.3664,20.4621,326.9269,70.1911,15.8061,26.6253,22.9058
6,2008,1,10,84.2600,5.9600,22.1943,20.4621,323.6887,71.3406,15.6602,26.0723,22.8682
7,2008,1,11,81.0800,6.2500,21.5298,20.1736,319.4445,69.7342,15.2781,24.9295,22.4699
8,2008,1,14,82.8700,6.4100,22.2891,20.5011,327.2372,73.4897,16.0354,26.5884,22.8457
9,2008,1,15,80.2400,6.1200,21.0748,20.1580,319.1441,72.7043,15.7644,24.6346,22.3346
10,2008,1,16,80.3500,6.5700,19.9029,19.6121,308.2833,72.5615,13.8121,21.8514,22.1693
11,2008,1,17,80.1200,6.3400,20.0587,18.9727,300.6957,72.1831,13.4300,21.4735,22.0115
12,2008,1,18,79.7600,7.0700,20.1173,18.9493,300.4254,73.8253,13.2007,22.8928,22.1393
13,2008,1,22,78.4800,6.8300,19.4042,18.3098,292.4675,72.2688,12.9298,21.7500,21.7785
14,2008,1,23,73.9700,7.5600,17.3383,18.7387,274.5846,75.7530,13.8816,22.1463,22.7705
15,2008,1,24,77.6700,7.5800,16.9057,19.5809,287.5325,76.3313,14.3749,23.8420,22.8607
16,2008,1,25,77.6000,7.1500,16.2088,18.8713,283.4835,74.6249,13.8955,22.9942,22.3873
17,2008,1,28,75.8200,7.4600,16.2088,18.7933,278.2683,74.9534,14.0970,22.7177,22.7856
18,2008,1,29,73.9500,7.6100,16.3995,18.7621,275.5355,75.7530,14.2429,23.4181,22.8986
19,2008,1,30,74.2100,7.6100,16.4793,18.9961,274.4094,75.4317,14.3749,23.2153,23.2606
20,2008,1,31,77.7000,7.5900,16.8758,19.1052,282.4324,76.4741,14.6597,22.6624,23.3360
21,2008,2,1,74.6300,8.0000,16.6751,19.4483,258.2082,77.8807,15.1252,24.7544,23.7657
22,2008,2,4,73.9500,7.9200,16.4132,18.5750,247.9630,77.0596,14.7292,23.9803,23.4943
23,2008,2,5,72.0900,7.2100,16.1277,18.1383,253.6537,74.9819,14.0638,22.4781,22.4236
24,2008,2,6,68.4900,6.7400,15.2101,17.9979,251.1061,74.2437,13.9240,22.4043,22.2351
25,2008,2,7,70.9100,6.5900,15.1154,18.2318,252.7277,73.3478,14.0148,22.6255,22.0240
26,2008,2,8,73.5000,6.3400,15.6440,18.3566,258.6036,74.0143,14.1686,23.0310,22.3181
27,2008,2,11,75.1900,6.2800,16.1390,18.3410,260.8409,75.3546,14.4552,23.1047,22.7403
28,2008,2,12,74.4500,6.4100,15.5667,18.2708,259.3043,76.3508,14.6090,23.9618,22.8534
29,2008,2,13,77.7300,6.7000,16.1327,18.7621,267.5776,77.7054,14.8257,24.9019,23.2606
30,2008,2,14,75.8000,6.5300,15.8909,18.3488,266.3914,76.0641,14.3014,20.8376,22.7855
31,2008,2,15,72.9600,6.4500,15.5380,18.1695,265.0851,76.0856,14.0568,20.5242,22.7177
32,2008,2,19,72.0800,6.5000,15.2326,17.8419,254.7297,75.2542,14.0917,20.2201,22.4689
33,2008,2,20,73.6400,6.8300,15.4370,18.0915,254.7548,77.2969,14.2455,20.0727,22.8534
34,2008,2,21,69.9000,6.9600,15.1528,18.0837,251.6817,76.6375,14.1896,19.6211,22.5895
35,2008,2,22,72.0800,6.7100,14.8935,18.4034,254.1542,77.4546,13.8541,20.5703,22.7479
36,2008,2,25,73.2700,6.9700,14.9284,18.5594,243.4635,78.8951,13.9380,20.5611,22.9062
37,2008,2,26,71.6900,7.1300,14.8548,18.7699,232.3273,81.9770,14.4622,20.7362,23.4868
38,2008,2,27,70.8700,7.2800,15.3298,19.4561,236.6667,83.4677,14.5181,21.0588,23.6903
39,2008,2,28,67.8500,7.0200,16.1963,19.2300,237.9329,82.5934,14.3224,20.2662,23.3887
40,2008,2,29,64.4700,7.2100,15.5867,19.0195,235.8258,81.6043,13.9589,19.7132,22.5895
41,2008,3,3,62.4300,6.7600,15.1765,19.0273,228.7387,81.8695,13.9869,19.4828,22.5669
42,2008,3,4,65.3400,6.7600,15.5368,18.9415,222.5225,82.9302,13.9799,19.2893,22.0693
43,2008,3,5,64.9900,6.8400,15.5206,18.9259,224.0741,82.7008,14.1197,19.5105,22.4312
44,2008,3,6,62.7400,6.4900,15.0767,18.6685,216.5666,80.6439,13.8890,18.2847,22.0165
45,2008,3,7,64.0900,6.4900,15.2413,18.8011,216.8919,81.6616,14.0288,18.0175,22.0919
46,2008,3,10,63.4700,6.1600,14.9221,18.7075,207.0170,81.7118,14.0638,16.9853,22.3558
47,2008,3,11,67.1500,6.4800,15.8772,19.6121,220.1401,83.4892,14.8187,17.5474,21.6847
48,2008,3,12,66.5100,6.4300,15.7126,19.6043,220.3103,83.9049,14.7628,17.0682,21.3982
49,2008,3,13,68.3200,6.7300,15.9507,19.4561,221.7267,83.0735,14.8746,18.1557,21.8808
50,2008,3,14,68.2200,6.3800,15.7849,18.9649,219.1792,82.5862,14.4412,16.8839,21.2700
51,2008,3,17,66.5300,6.3400,15.7998,18.9415,210.1451,82.8155,14.5740,16.4599,21.6244
52,2008,3,18,71.7000,6.3900,16.5591,19.9474,219.7998,84.8653,15.2031,17.4829,22.2276
53,2008,3,19,70.1700,6.1500,16.1664,19.0818,216.2162,83.8118,14.7418,16.2756,21.1946
54,2008,3,20,73.1900,6.1100,16.6152,19.3158,216.9920,84.8080,15.2031,17.0682,21.3228
55,2008,3,24,75.9500,6.2100,17.3957,19.9942,230.5105,85.3312,15.4688,18.4598,21.9185
56,2008,3,25,75.1700,6.3000,17.5764,20.0800,225.6156,84.5500,15.5666,18.7271,22.0843
57,2008,3,26,73.8000,6.2200,18.0851,19.3236,229.3243,83.7903,15.2800,18.1281,21.8280
58,2008,3,27,70.8000,6.1600,17.4854,18.8557,222.2623,82.7940,14.7418,17.8700,21.5566
59,2008,3,28,69.7600,5.9100,17.8295,18.7777,219.2593,82.1132,14.5321,18.1373,21.3681
60,2008,3,31,71.3000,5.8900,17.8906,18.7855,220.4555,82.5217,14.8047,18.2387,21.3153
61,2008,4,1,76.7000,6.0700,18.6424,19.4795,233.0881,83.4892,15.3569,19.3538,22.1070
62,2008,4,2,77.3700,6.1900,18.3881,19.4639,233.0831,82.2852,15.2730,18.7640,22.2728
63,2008,4,3,74.9400,6.2600,18.9017,18.8947,227.7878,83.1524,15.3290,18.4138,22.7177
64,2008,4,4,76.8700,6.2300,19.0850,19.0195,235.7808,82.9660,15.2870,17.3078,22.5367
65,2008,4,7,76.9000,6.3400,19.4353,18.6685,238.6487,83.3602,15.2031,17.7225,22.6649
66,2008,4,8,77.3000,6.0300,19.0551,18.6841,234.1391,83.3315,14.7348,17.6212,22.0240
67,2008,4,9,74.3900,6.2600,18.8805,18.3488,232.3273,83.6899,14.9725,17.9714,22.2578
68,2008,4,10,74.8300,6.2700,19.2683,18.7465,234.7748,85.1305,15.4338,18.3216,22.6725
69,2008,4,11,71.9900,6.0100,18.3444,18.2318,228.9539,83.1381,14.8466,17.0774,22.1824
70,2008,4,14,72.6100,5.8600,18.4242,18.1773,226.0561,84.0554,14.4622,16.5060,21.6546
