Year,Month,Day,AMZN,AMD,AAPL,CSCO,GOOGL,IBM,INTC,NVDA,TXN
2008,1,31,-18.55,0.45,-7.4155,-1.5908,-60.5055,1.7076,-2.9366,-7.7599,-0.9678
2008,2,1,-20.58,1.23,-7.6275,-1.4115,-84.7998,2.9496,-2.0038,-5.4283,-0.0117
2008,2,4,-14.84,1.67,-6.0342,-1.7935,-80.8658,4.7984,-1.0157,-3.668,0.5468
2008,2,5,-16.73,1.13,-6.0193,-2.238,-71.2963,3.507,-1.8226,-2.3132,-0.486
2008,2,6,-19.39,0.74,-6.1402,-1.8326,-65.0501,4.5133,-1.5332,-2.9123,-0.6805
2008,2,7,-14.31,1.06,-7.251,-2.2303,-74.1992,3.1198,-1.7815,-3.9998,-0.8752
2008,2,8,-10.76,0.38,-6.5503,-2.1055,-65.0851,2.6425,-1.4834,-3.0413,-0.546
2008,2,11,-5.89,0.03,-5.3908,-1.8326,-58.6036,5.5548,-0.8184,-1.8248,0.2684
2008,2,12,-8.42,0.0,-6.7224,-2.2303,-67.9329,2.8278,-1.4186,-2.6266,0.0077
2008,2,13,-2.51,0.58,-4.9421,-1.3959,-51.5665,4.9427,-0.9336,0.2673,0.919
2008,2,14,-4.55,-0.04,-4.012,-1.2633,-41.8919,3.4617,0.4867,-1.0138,0.6116
2008,2,15,-7.16,0.11,-4.5207,-0.8032,-35.6106,3.857,0.6233,-0.9493,0.7009
2008,2,19,-7.68,-0.57,-4.8847,-1.1074,-45.6957,1.4123,0.8861,-2.6727,0.3272
2008,2,20,-4.84,0.0,-3.9672,-0.2183,-37.7127,4.9694,1.3085,-1.6773,1.0668
2008,2,21,-4.07,-0.6,-2.1855,-0.655,-22.9029,0.8742,0.3063,-2.5252,-0.1797
2008,2,22,-5.59,-0.87,-2.0122,-1.1775,-33.3783,1.1101,-0.5179,-3.2717,-0.112
2008,2,25,-4.33,-0.18,-1.2804,-0.3119,-40.02,4.2204,0.0423,-2.4331,0.515
