,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
Apple Inc 2008-1,2008,1,9608.0,6276.0,1581.0,1.76,26189.0,30039.0,10535.0,16804.0,106.0,2787.0,9162.0,194.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2008-2,2008,2,7512.0,5038.0,1045.0,1.16,26736.0,30471.0,9634.0,18053.0,222.0,3980.0,9070.0,149.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2008-3,2008,3,7464.0,4864.0,1072.0,1.19,27998.0,31709.0,9218.0,19622.0,339.0,5301.0,9373.0,174.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2009-1,2009,1,10167.0,6635.0,1605.0,1.78,35163.0,42787.0,14757.0,22909.0,158.0,3938.0,7236.0,90.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2009-2,2009,2,8163.0,5192.0,1205.0,1.33,33853.0,43237.0,13751.0,24311.0,330.0,4779.0,4466.0,108.69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2009-3,2009,3,8337.0,5314.0,1229.0,1.35,35170.0,48140.0,16661.0,25888.0,506.0,7049.0,5605.0,142.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2010-1,2010,1,15683.0,9272.0,3378.0,3.67,33332.0,53926.0,13097.0,35768.0,209.0,5781.0,7609.0,214.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2010-2,2010,2,13499.0,7874.0,3074.0,3.33,32336.0,57057.0,12229.0,39348.0,425.0,8111.0,10018.0,235.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2010-3,2010,3,15700.0,9564.0,3253.0,3.51,36033.0,64725.0,15612.0,43111.0,698.0,12912.0,9705.0,248.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2011-1,2011,1,26741.0,16443.0,6004.0,6.43,43927.0,86742.0,23795.0,54666.0,356.0,9773.0,10734.0,329.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2011-2,2011,2,24667.0,14449.0,5987.0,6.4,46997.0,94904.0,24327.0,61477.0,790.0,15992.0,15978.0,344.56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2011-3,2011,3,28571.0,16649.0,7308.0,7.79,46898.0,106758.0,26859.0,69343.0,1271.0,27100.0,12091.0,343.26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2012-1,2012,1,46333.0,25630.0,13064.0,13.87,54771.0,138681.0,34607.0,90054.0,721.0,17554.0,10310.0,411.23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2012-2,2012,2,39186.0,20622.0,11622.0,12.3,50712.0,150934.0,32036.0,102498.0,1461.0,31531.0,10121.0,618.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2012-3,2012,3,35023.0,20029.0,8824.0,9.32,51943.0,162896.0,33060.0,111746.0,2296.0,41720.0,7945.0,592.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2013-1,2013,1,54512.0,33452.0,13078.0,13.81,72348.0,196088.0,46879.0,127346.0,1588.0,23426.0,16154.0,549.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2013-2,2013,2,43603.0,27254.0,9547.0,10.09,63337.0,194743.0,35508.0,135490.0,3280.0,35930.0,12053.0,428.91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2013-3,2013,3,35323.0,22299.0,6900.0,7.47,68219.0,199856.0,36319.0,123354.0,4974.0,43758.0,11248.0,409.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2014-1,2014,1,57594.0,35748.0,13072.0,14.5,80347.0,225184.0,53769.0,129684.0,2144.0,22670.0,14077.0,553.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2014-2,2014,2,45646.0,27699.0,10223.0,11.62,70541.0,205989.0,43208.0,120179.0,4031.0,36208.0,18949.0,541.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2014-3,2014,3,37432.0,22697.0,7748.0,1.28,67949.0,222520.0,46205.0,120940.0,5977.0,46463.0,12977.0,654.64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2015-1,2015,1,74599.0,44858.0,18024.0,3.06,83403.0,261894.0,73611.0,123328.0,2575.0,33722.0,19478.0,765.31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2015-2,2015,2,58010.0,34354.0,13569.0,2.33,67891.0,261194.0,58729.0,129006.0,5054.0,52803.0,14489.0,869.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2015-3,2015,3,49605.0,29924.0,10677.0,1.85,70953.0,273151.0,65285.0,125677.0,8138.0,67791.0,15319.0,886.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple Inc 2016-1,2016,1,75872.0,45449.0,18361.0,3.28,76219.0,293284.0,76092.0,128267.0,2954.0,27463.0,16689.0,737.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
