,Year,Quarter,Current assets,Total assets,Current liabilities,Shareholders' equity,Net sales,Cost of sales,Operating expenses,Net income,Earnings per share,Depreciation & Amortization,Cash generated by operating activities,Cash at beginning of period,Cash at end of period
Cisco Systems 2008-1,2008,1,32442.0,55300.0,12193.0,32812.0,9831.0,3491.0,3936.0,2060.0,0.33,878.0,5532.0,3728.0,5202.0
Cisco Systems 2008-2,2008,2,34145.0,57123.0,13359.0,33138.0,9791.0,3486.0,4164.0,1773.0,0.29,1314.0,8560.0,3728.0,6154.0
Cisco Systems 2008-4,2008,4,35662.0,58887.0,13548.0,35035.0,10331.0,3650.0,4199.0,2201.0,0.37,393.0,2718.0,5191.0,4197.0
Cisco Systems 2009-1,2009,1,37995.0,61357.0,13604.0,36783.0,9089.0,3366.0,3950.0,1504.0,0.26,818.0,5916.0,5191.0,4175.0
Cisco Systems 2009-2,2009,2,41336.0,64666.0,12861.0,37256.0,8162.0,2933.0,3622.0,1348.0,0.23,1244.0,7912.0,5191.0,7359.0
Cisco Systems 2009-4,2009,4,44697.0,68680.0,13162.0,40002.0,9021.0,3133.0,3764.0,1787.0,0.3,429.0,1488.0,5718.0,4774.0
Cisco Systems 2010-1,2010,1,50139.0,76403.0,14405.0,41512.0,9815.0,3483.0,3962.0,1853.0,0.32,942.0,3974.0,5718.0,4710.0
Cisco Systems 2010-2,2010,2,49758.0,79292.0,18439.0,43830.0,10368.0,3738.0,4285.0,2192.0,0.37,1415.0,6941.0,5718.0,3961.0
Cisco Systems 2010-4,2010,4,50406.0,80015.0,18120.0,44675.0,10750.0,3995.0,4404.0,1930.0,0.34,553.0,1667.0,4581.0,3796.0
Cisco Systems 2011-1,2011,1,52066.0,81981.0,18505.0,45641.0,10407.0,4146.0,4577.0,1521.0,0.27,1240.0,4276.0,4581.0,4924.0
Cisco Systems 2011-2,2011,2,55204.0,85350.0,16110.0,47163.0,10866.0,4207.0,4476.0,1807.0,0.33,1813.0,7255.0,4581.0,6635.0
Cisco Systems 2011-4,2011,4,57267.0,86964.0,17461.0,47188.0,11256.0,4366.0,4680.0,1777.0,0.33,621.0,2333.0,7662.0,4747.0
Cisco Systems 2012-1,2012,1,59298.0,89259.0,17598.0,49246.0,11527.0,4462.0,4331.0,2182.0,0.4,1185.0,5434.0,7662.0,8561.0
Cisco Systems 2012-2,2012,2,61212.0,91154.0,17124.0,51357.0,11588.0,4419.0,4419.0,2165.0,0.4,1816.0,8403.0,7662.0,6461.0
Cisco Systems 2012-4,2012,4,57907.0,92643.0,17114.0,52686.0,11876.0,4637.0,4588.0,2092.0,0.39,612.0,2465.0,9799.0,4773.0
Cisco Systems 2013-1,2013,1,60725.0,96378.0,17950.0,55515.0,12098.0,4755.0,4554.0,3143.0,0.59,1223.0,5814.0,9799.0,6847.0
Cisco Systems 2013-2,2013,2,61417.0,97084.0,21063.0,56788.0,12216.0,4705.0,4569.0,2478.0,0.46,1760.0,8908.0,9799.0,5122.0
Cisco Systems 2013-4,2013,4,62796.0,100741.0,21728.0,58897.0,12085.0,4678.0,4952.0,1996.0,0.37,591.0,2649.0,7925.0,5254.0
Cisco Systems 2014-1,2014,1,60689.0,98427.0,22944.0,56069.0,11155.0,5204.0,4284.0,1429.0,0.27,1203.0,5522.0,7925.0,5339.0
Cisco Systems 2014-2,2014,2,64288.0,101856.0,18515.0,55787.0,11545.0,4539.0,4464.0,2181.0,0.42,1811.0,8720.0,7925.0,6241.0
Cisco Systems 2014-4,2014,4,66396.0,103978.0,20056.0,56708.0,12245.0,4912.0,4991.0,1828.0,0.35,596.0,2491.0,6726.0,4387.0
Cisco Systems 2015-1,2015,1,67882.0,104922.0,20034.0,57718.0,11936.0,4846.0,4468.0,2397.0,0.46,1224.0,5374.0,6726.0,4797.0
Cisco Systems 2015-2,2015,2,69331.0,106212.0,23245.0,58823.0,12137.0,4612.0,4600.0,2437.0,0.47,1791.0,8414.0,6726.0,3870.0
Cisco Systems 2015-4,2015,4,73946.0,111773.0,22100.0,59977.0,12682.0,4850.0,4753.0,2430.0,0.48,507.0,2766.0,6877.0,5758.0
Cisco Systems 2016-1,2016,1,75005.0,112642.0,22799.0,60871.0,11927.0,4495.0,4138.0,3147.0,0.62,1005.0,6688.0,6877.0,6314.0
Cisco Systems 2016-2,2016,2,78571.0,118654.0,24003.0,62358.0,12000.0,4279.0,4737.0,2349.0,0.46,1546.0,9752.0,6877.0,8895.0
Cisco Systems 2016-4,2016,4,83141.0,126287.0,23217.0,63406.0,12352.0,4468.0,5007.0,2322.0,0.46,599.0,2730.0,7631.0,8583.0
Cisco Systems 2017-1,2017,1,83392.0,126248.0,22708.0,63811.0,11580.0,4304.0,4383.0,2348.0,0.47,1148.0,6502.0,7631.0,10898.0
Cisco Systems 2017-2,2017,2,79962.0,125950.0,22718.0,65382.0,11940.0,4422.0,4349.0,2515.0,0.5,1708.0,9875.0,7631.0,8116.0
Cisco Systems 2017-4,2017,4,84080.0,130522.0,29284.0,65550.0,12136.0,4709.0,4671.0,2394.0,0.48,566.0,3080.0,11708.0,11043.0
Cisco Systems 2018-1,2018,1,86050.0,131510.0,35364.0,51982.0,11887.0,4389.0,4425.0,-8778.0,-1.78,1112.0,7150.0,11708.0,17624.0
Cisco Systems 2018-2,2018,2,67141.0,114008.0,28642.0,46661.0,12463.0,4704.0,4625.0,2691.0,0.56,1676.0,9566.0,11708.0,6719.0
Cisco Systems 2018-4,2018,4,55686.0,105429.0,26414.0,43848.0,13072.0,4926.0,4341.0,3549.0,0.77,465.0,3763.0,8993.0,8486.0
