,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at beginning of period,Cash at end of period
Nvidia 2008-2,2008,2,1153.0,639.0,177.0,0.3,2749.0,3807.0,877.0,2737.0,41.0,145.0,727.0,803.0
Nvidia 2008-3,2008,3,893.0,743.0,-121.0,-0.22,2814.0,3960.0,1135.0,2663.0,88.0,226.0,727.0,719.0
Nvidia 2008-4,2008,4,898.0,530.0,62.0,0.11,2480.0,3649.0,1004.0,2487.0,137.0,269.0,727.0,461.0
Nvidia 2009-2,2009,2,664.0,475.0,-201.0,-0.37,2021.0,3179.0,702.0,2319.0,51.0,142.0,418.0,512.0
Nvidia 2009-3,2009,3,777.0,620.0,-105.0,-0.19,2168.0,3298.0,891.0,2247.0,100.0,277.0,418.0,524.0
Nvidia 2009-4,2009,4,903.0,511.0,108.0,0.19,2358.0,3464.0,889.0,2424.0,149.0,419.0,418.0,614.0
Nvidia 2010-2,2010,2,1002.0,545.0,138.0,0.23,2727.0,3803.0,765.0,2861.0,47.0,-5.0,447.0,447.0
Nvidia 2010-3,2010,3,811.0,677.0,-141.0,-0.25,2656.0,3731.0,819.0,2761.0,94.0,29.0,447.0,377.0
Nvidia 2010-4,2010,4,844.0,452.0,85.0,0.15,2808.0,3916.0,816.0,2898.0,141.0,241.0,447.0,451.0
Nvidia 2011-2,2011,2,962.0,478.0,135.0,0.22,3497.0,4737.0,981.0,3448.0,48.0,172.0,665.0,684.0
Nvidia 2011-3,2011,3,1017.0,491.0,287.0,0.25,3318.0,4864.0,960.0,3689.0,100.0,254.0,665.0,533.0
Nvidia 2011-4,2011,4,1066.0,509.0,178.0,0.29,3500.0,5089.0,887.0,3973.0,152.0,499.0,665.0,567.0
Nvidia 2012-2,2012,2,925.0,462.0,60.0,0.1,4032.0,5708.0,947.0,4287.0,54.0,-9.0,668.0,369.0
Nvidia 2012-3,2012,3,1044.0,504.0,119.0,0.19,4214.0,5892.0,1022.0,4454.0,111.0,192.0,668.0,500.0
Nvidia 2012-4,2012,4,1204.0,567.0,209.0,0.33,4425.0,6075.0,991.0,4723.0,168.0,373.0,668.0,525.0
Nvidia 2013-2,2013,2,955.0,436.0,78.0,0.13,4607.0,6280.0,926.0,4825.0,60.0,176.0,733.0,561.0
Nvidia 2013-3,2013,3,977.0,432.0,96.0,0.16,3923.0,5570.0,936.0,4172.0,122.0,272.0,733.0,591.0
Nvidia 2013-4,2013,4,1054.0,470.0,119.0,0.2,4050.0,5711.0,986.0,4321.0,184.0,434.0,733.0,562.0
Nvidia 2014-2,2014,2,1103.0,499.0,137.0,0.24,5274.0,6865.0,898.0,4167.0,55.0,151.0,1152.0,509.0
Nvidia 2014-3,2014,3,1103.0,484.0,128.0,0.22,5378.0,6934.0,869.0,4305.0,111.0,247.0,1152.0,515.0
Nvidia 2014-4,2014,4,1225.0,549.0,173.0,0.31,5341.0,6886.0,934.0,4205.0,166.0,463.0,1152.0,395.0
Nvidia 2015-2,2015,2,1151.0,498.0,134.0,0.24,5832.0,7291.0,883.0,4556.0,54.0,246.0,497.0,464.0
Nvidia 2015-3,2015,3,1153.0,519.0,26.0,0.05,5608.0,6979.0,936.0,4185.0,103.0,409.0,497.0,435.0
Nvidia 2015-4,2015,4,1305.0,571.0,246.0,0.44,5834.0,7174.0,855.0,4465.0,151.0,664.0,497.0,471.0
Nvidia 2016-2,2016,2,1305.0,554.0,196.0,0.33,5790.0,7108.0,2377.0,4196.0,45.0,309.0,596.0,547.0
Nvidia 2016-3,2016,3,1428.0,602.0,253.0,0.4,6156.0,7461.0,2407.0,4480.0,92.0,493.0,596.0,426.0
Nvidia 2016-4,2016,4,2004.0,821.0,542.0,0.83,8307.0,9612.0,2041.0,5324.0,140.0,951.0,596.0,1940.0
Nvidia 2017-2,2017,2,1937.0,787.0,507.0,0.79,8116.0,9410.0,983.0,6132.0,47.0,282.0,1766.0,1989.0
Nvidia 2017-3,2017,3,2230.0,928.0,583.0,0.92,8070.0,9402.0,1032.0,5973.0,96.0,987.0,1766.0,1988.0
Nvidia 2017-4,2017,4,2636.0,1067.0,838.0,1.33,8479.0,9830.0,1027.0,6352.0,145.0,2144.0,1766.0,2802.0
Nvidia 2018-2,2018,2,3207.0,1139.0,1244.0,1.98,9448.0,11460.0,1106.0,7717.0,57.0,1445.0,4002.0,765.0
Nvidia 2018-3,2018,3,3123.0,1148.0,1101.0,1.76,10831.0,12882.0,1462.0,8795.0,116.0,2358.0,4002.0,718.0
Nvidia 2018-4,2018,4,3181.0,1260.0,1230.0,1.97,11386.0,13657.0,1608.0,9475.0,184.0,2845.0,4002.0,721.0
