Description:           Master Index of EDGAR Dissemination Feed by Company Name
Last Data Received:    March 31, 1994
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
Company Name                                                  Form Type   CIK         Date Filed  File Name
---------------------------------------------------------------------------------------------------------------------------------------------
111 CORCORAN FUNDS                                            N-30D       883496      1994-01-28  edgar/data/883496/0000883496-94-000002.txt          
111 CORCORAN FUNDS                                            N-30D       883496      1994-01-28  edgar/data/883496/0000883496-94-000003.txt          
111 CORCORAN FUNDS                                            NSAR-A      883496      1994-01-28  edgar/data/883496/0000883496-94-000001.txt          
2002 TARGET TERM TRUST INC                                    NSAR-B      893227      1994-01-31  edgar/data/893227/0000893227-94-000002.txt          
21ST CENTURY TRUST SERIES 1                                   485BPOS     880629      1994-03-11  edgar/data/880629/0000950138-94-000011.txt          
21ST CENTURY TRUST SERIES 1                                   N-8B-2/A    880629      1994-01-28  edgar/data/880629/0000950138-94-000003.txt          
21ST CENTURY TRUST SERIES 2                                   485BPOS     882197      1994-03-11  edgar/data/882197/0000950138-94-000011.txt          
21ST CENTURY TRUST SERIES 3                                   485BPOS     883562      1994-03-11  edgar/data/883562/0000950138-94-000011.txt          
21ST CENTURY TRUST SERIES 9                                   497J        904105      1994-02-03  edgar/data/904105/0000950138-94-000005.txt          
21ST CENTURY TRUST SERIES 9                                   S-6EL24/A   904105      1994-01-28  edgar/data/904105/0000950138-94-000004.txt          
3333 HOLDING CORP                                             10-Q        818762      1994-02-04  edgar/data/818762/0000950134-94-000066.txt          
3COM CORP                                                     10-Q        738076      1994-01-14  edgar/data/738076/0000738076-94-000002.txt          
3COM CORP                                                     8-K         738076      1994-01-31  edgar/data/738076/0000738076-94-000004.txt          
3COM CORP                                                     8-K         738076      1994-02-11  edgar/data/738076/0000738076-94-000005.txt          
3COM CORP                                                     SC 13G      738076      1994-01-12  edgar/data/738076/0000315066-94-000023.txt          
3COM CORP                                                     SC 13G/A    738076      1994-02-10  edgar/data/738076/0000748054-94-000007.txt          
59 WALL STREET TRUST                                          NSAR-A      722575      1994-02-18  edgar/data/722575/0000722575-94-000001.txt          
A L LABORATORIES INC                                          SC 13G      730469      1994-02-08  edgar/data/730469/0000729057-94-000007.txt          
A L LABORATORIES INC                                          SC 13G/A    730469      1994-02-11  edgar/data/730469/0000950109-94-000193.txt          
A L LABORATORIES INC                                          SC 13G/A    730469      1994-02-14  edgar/data/730469/0000009749-94-000004.txt          
A L LABORATORIES INC                                          SC 13G/A    730469      1994-02-14  edgar/data/730469/0000759277-94-000028.txt          
A PEA IN THE POD INC                                          SC 13G      851091      1994-02-11  edgar/data/851091/0000898430-94-000111.txt          
A PLUS COMMUNICATIONS INC /TN/                                SC 13G      908526      1994-02-02  edgar/data/908526/0000766524-94-000101.txt          
A T OHIO MUNICIPAL MONEY FUND                                 497         751954      1994-03-03  edgar/data/751954/0000751954-94-000002.txt          
A T OHIO TAX FREE MONEY FUND                                  DEF 14A     751954      1994-01-12  edgar/data/751954/0000751954-94-000001.txt          
AAR CORP                                                      10-Q        1750        1994-01-13  edgar/data/1750/0000912057-94-000088.txt            
AAR CORP                                                      SC 13G      1750        1994-02-07  edgar/data/1750/0000950109-94-000131.txt            
AAR CORP                                                      SC 13G      1750        1994-02-08  edgar/data/1750/0000729057-94-000008.txt            
ABACO GRUPO FINANCIERO SA DE CV                               SC 14D1/A   917543      1994-01-18  edgar/data/917543/0000950124-94-000151.txt          
ABACO GRUPO FINANCIERO SA DE CV                               SC 14D1/A   917543      1994-01-18  edgar/data/917543/0000950124-94-000152.txt          
ABACO GRUPO FINANCIERO SA DE CV                               SC 14D1/A   917543      1994-01-18  edgar/data/917543/0000950124-94-000154.txt          
ABBEY HEALTHCARE GROUP INC/DE                                 SC 13G/A    882289      1994-02-14  edgar/data/882289/0000315066-94-000075.txt          
ABBEY HEALTHCARE GROUP INC/DE                                 SC 13G/A    882289      1994-03-09  edgar/data/882289/0000315066-94-001037.txt          
ABBOTT LABORATORIES                                           10-K        1800        1994-03-03  edgar/data/1800/0000912057-94-000771.txt            
ABBOTT LABORATORIES                                           DEF 14A     1800        1994-03-04  edgar/data/1800/0000912057-94-000795.txt            
ABBOTT LABORATORIES                                           PRE 14A     1800        1994-02-15  edgar/data/1800/0000912057-94-000520.txt            
ABBOTT LABORATORIES                                           SC 13G/A    1800        1994-02-14  edgar/data/1800/0000912057-94-000389.txt            
ABBOTT LABORATORIES STOCK RETIREMENT TRUST                    SC 13G/A    918392      1994-02-14  edgar/data/918392/0000912057-94-000389.txt          
ABS LIFESCIENCES INC                                          SC 13G/A    806063      1994-02-14  edgar/data/806063/0000950152-94-000113.txt          
ACACIA CAPITAL CORP                                           NSAR-B      708950      1994-03-08  edgar/data/708950/0000708950-94-000002.txt          
ACCEL INTERNATIONAL CORP                                      SC 13G      1985        1994-02-10  edgar/data/1985/0000950152-94-000092.txt            
