Description:           Master Index of EDGAR Dissemination Feed by Company Name
Last Data Received:    September 30, 1994
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
Company Name                                                  Form Type   CIK         Date Filed  File Name
---------------------------------------------------------------------------------------------------------------------------------------------
109 WEST MAIN ST INC                                          S-3         929268      1994-09-02  edgar/data/929268/0000912057-94-002949.txt          
111 CORCORAN FUNDS                                            24F-2NT     883496      1994-07-15  edgar/data/883496/0000883496-94-000004.txt          
111 CORCORAN FUNDS                                            485BPOS     883496      1994-07-26  edgar/data/883496/0000883496-94-000005.txt          
111 CORCORAN FUNDS                                            497         883496      1994-08-01  edgar/data/883496/0000883496-94-000009.txt          
111 CORCORAN FUNDS                                            N-30D       883496      1994-07-29  edgar/data/883496/0000883496-94-000007.txt          
111 CORCORAN FUNDS                                            NSAR-B      883496      1994-08-01  edgar/data/883496/0000883496-94-000008.txt          
121 EAST MAIN ST INC                                          S-3         929269      1994-09-02  edgar/data/929269/0000912057-94-002949.txt          
2002 TARGET TERM TRUST INC                                    NSAR-A      893227      1994-08-02  edgar/data/893227/0000893227-94-000005.txt          
21ST CENTURY TRUST SERIES 4                                   485BPOS     884508      1994-07-11  edgar/data/884508/0000950138-94-000063.txt          
21ST CENTURY TRUST SERIES 7                                   485BPOS     893754      1994-07-11  edgar/data/893754/0000950138-94-000065.txt          
3333 HOLDING CORP                                             10-Q        818762      1994-08-12  edgar/data/818762/0000950134-94-000982.txt          
3333 HOLDING CORP                                             11-K        818762      1994-09-26  edgar/data/818762/0000950134-94-001134.txt          
3333 HOLDING CORP                                             DEF 14A     818762      1994-07-01  edgar/data/818762/0000950134-94-000765.txt          
3333 HOLDING CORP                                             S-8         818762      1994-08-16  edgar/data/818762/0000950134-94-001030.txt          
3COM CORP                                                     10-C        738076      1994-08-24  edgar/data/738076/0000738076-94-000018.txt          
3COM CORP                                                     10-K        738076      1994-08-26  edgar/data/738076/0000738076-94-000022.txt          
3COM CORP                                                     DEF 14A     738076      1994-08-24  edgar/data/738076/0000912057-94-002820.txt          
3COM CORP                                                     S-8         738076      1994-08-29  edgar/data/738076/0000738076-94-000023.txt          
59 WALL STREET TRUST                                          NSAR-A      722575      1994-08-25  edgar/data/722575/0000722575-94-000002.txt          
A L LABORATORIES INC                                          10-Q        730469      1994-08-10  edgar/data/730469/0000730469-94-000005.txt          
