Description:           Master Index of EDGAR Dissemination Feed by Company Name
Last Data Received:    June 30, 1995
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
Company Name                                                  Form Type   CIK         Date Filed  File Name
---------------------------------------------------------------------------------------------------------------------------------------------
111 CORCORAN FUNDS                                            485BPOS     883496      1995-05-24  edgar/data/883496/0000883496-95-000003.txt          
111 CORCORAN FUNDS                                            497         883496      1995-05-30  edgar/data/883496/0000883496-95-000004.txt          
111 CORCORAN FUNDS                                            497         883496      1995-05-31  edgar/data/883496/0000883496-95-000005.txt          
1150 LIQUIDATING CORP                                         8-K         93706       1995-06-29  edgar/data/93706/0000093706-95-000019.txt           
1838 BOND DEBENTURE TRADING FUND                              NSAR-B      30125       1995-05-30  edgar/data/30125/0000030125-95-000001.txt           
1ST COMMUNITY BANCORP INC                                     10QSB       803164      1995-05-12  edgar/data/803164/0000950124-95-001471.txt          
1ST COMMUNITY BANCORP INC                                     DEF 14A     803164      1995-04-07  edgar/data/803164/0000950124-95-001059.txt          
1ST SOURCE CORP                                               10-Q        34782       1995-05-11  edgar/data/34782/0000034782-95-000005.txt           
2002 TARGET TERM TRUST INC                                    497         893227      1995-04-10  edgar/data/893227/0000950130-95-000685.txt          
20TH CENTURY INDUSTRIES                                       10-Q        100331      1995-05-10  edgar/data/100331/0000100331-95-000016.txt          
20TH CENTURY INDUSTRIES                                       8-K         100331      1995-06-06  edgar/data/100331/0000100331-95-000018.txt          
20TH CENTURY INDUSTRIES                                       8-K         100331      1995-06-29  edgar/data/100331/0000100331-95-000020.txt          
20TH CENTURY INDUSTRIES                                       DEF 14A     100331      1995-04-25  edgar/data/100331/0000912057-95-002664.txt          
20TH CENTURY INDUSTRIES                                       SC 13D      100331      1995-05-08  edgar/data/100331/0000906387-95-000020.txt          
3333 HOLDING CORP                                             10-K405     818762      1995-06-02  edgar/data/818762/0000950134-95-001300.txt          
3333 HOLDING CORP                                             10-K405/A   818762      1995-06-30  edgar/data/818762/0000950134-95-001545.txt          
3333 HOLDING CORP                                             DEF 14A     818762      1995-06-20  edgar/data/818762/0000950134-95-001416.txt          
3333 HOLDING CORP                                             PRE 14A     818762      1995-05-08  edgar/data/818762/0000950134-95-000927.txt          
3COM CORP                                                     10-K        738076      1995-06-29  edgar/data/738076/0000738076-95-000011.txt          
3COM CORP                                                     10-Q        738076      1995-04-14  edgar/data/738076/0000738076-95-000003.txt          
3COM CORP                                                     424B3       738076      1995-06-12  edgar/data/738076/0000912057-95-004525.txt          
3COM CORP                                                     8-K         738076      1995-05-16  edgar/data/738076/0000738076-95-000007.txt          
3COM CORP                                                     8-K         738076      1995-06-20  edgar/data/738076/0000738076-95-000009.txt          
3COM CORP                                                     8-K/A       738076      1995-05-11  edgar/data/738076/0000738076-95-000006.txt          
3COM CORP                                                     8-K/A       738076      1995-05-11  edgar/data/738076/0000912057-95-003517.txt          
3COM CORP                                                     8-K/A       738076      1995-06-05  edgar/data/738076/0000738076-95-000008.txt          
3COM CORP                                                     S-3         738076      1995-06-22  edgar/data/738076/0000738076-95-000010.txt          
3COM CORP                                                     S-3/A       738076      1995-06-30  edgar/data/738076/0000738076-95-000012.txt          
3COM CORP                                                     S-4/A       738076      1995-05-01  edgar/data/738076/0000912057-95-002925.txt          
3COM CORP                                                     S-4/A       738076      1995-05-11  edgar/data/738076/0000912057-95-003546.txt          
3COM CORP                                                     S-4/A       738076      1995-05-25  edgar/data/738076/0000912057-95-004166.txt          
3COM CORP                                                     S-4/A       738076      1995-06-05  edgar/data/738076/0000912057-95-004369.txt          
3COM CORP                                                     S-8         738076      1995-06-20  edgar/data/738076/0000912057-95-004667.txt          
50 OFF STORES INC                                             10-K        735584      1995-04-28  edgar/data/735584/0000950109-95-001501.txt          
50 OFF STORES INC                                             10-K/A      735584      1995-06-05  edgar/data/735584/0000930661-95-000170.txt          
50 OFF STORES INC                                             10-Q        735584      1995-06-19  edgar/data/735584/0000930661-95-000193.txt          
59 WALL STREET FUND INC                                       N-30D       865898      1995-06-29  edgar/data/865898/0000891092-95-000107.txt          
59 WALL STREET FUND INC                                       N-30D       865898      1995-06-29  edgar/data/865898/0000891092-95-000108.txt          
59 WALL STREET FUND INC                                       N-30D       865898      1995-06-29  edgar/data/865898/0000891092-95-000109.txt          
A L LABORATORIES INC                                          10-Q        730469      1995-05-12  edgar/data/730469/0000730469-95-000003.txt          
A L LABORATORIES INC                                          8-K         730469      1995-05-22  edgar/data/730469/0000730469-95-000004.txt          
A L LABORATORIES INC                                          DEF 14A     730469      1995-04-07  edgar/data/730469/0000950109-95-001176.txt          
A L PHARMA INC                                                8-A12B      730469      1995-06-22  edgar/data/730469/0000950109-95-002419.txt          
A L PHARMA INC                                                S-3         730469      1995-06-22  edgar/data/730469/0000950109-95-002418.txt          
A L PHARMA INC                                                S-8         730469      1995-06-22  edgar/data/730469/0000950109-95-002420.txt          
AAR CORP                                                      10-Q        1750        1995-04-14  edgar/data/1750/0000912057-95-002467.txt            
AAR CORP                                                      SC 13G      1750        1995-04-13  edgar/data/1750/0000837581-95-000058.txt            
AAR CORP                                                      SC 13G/A    1750        1995-04-19  edgar/data/1750/0000837581-95-000080.txt            
AARON RENTS INC                                               10-K        706688      1995-06-29  edgar/data/706688/0000950109-95-002567.txt          
