Description:           Master Index of EDGAR Dissemination Feed by Company Name
Last Data Received:    June 30, 1994
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
Company Name                                                  Form Type   CIK         Date Filed  File Name
---------------------------------------------------------------------------------------------------------------------------------------------
1818 FUND LP BROWN BROTHERS HARRIMAN CO LONG T MICHAEL ET AL  SC 13D      904953      1994-05-23  edgar/data/904953/0000950142-94-000042.txt          
21ST CENTURY TRUST SERIES 1                                   24F-2NT     880629      1994-06-01  edgar/data/880629/0000950138-94-000050.txt          
21ST CENTURY TRUST SERIES 2                                   24F-2NT     882197      1994-06-01  edgar/data/882197/0000950138-94-000051.txt          
21ST CENTURY TRUST SERIES 3                                   24F-2NT     883562      1994-06-01  edgar/data/883562/0000950138-94-000052.txt          
21ST CENTURY TRUST SERIES 4                                   24F-2NT     884508      1994-06-07  edgar/data/884508/0000950138-94-000060.txt          
21ST CENTURY TRUST SERIES 5                                   24F-2NT     888059      1994-06-01  edgar/data/888059/0000950138-94-000054.txt          
21ST CENTURY TRUST SERIES 6                                   24F-2NT     889525      1994-06-01  edgar/data/889525/0000950138-94-000055.txt          
21ST CENTURY TRUST SERIES 7                                   24F-2NT     893754      1994-06-01  edgar/data/893754/0000950138-94-000056.txt          
21ST CENTURY TRUST SERIES 8                                   24F-2NT     899875      1994-06-01  edgar/data/899875/0000950138-94-000057.txt          
3333 HOLDING CORP                                             10-K        818762      1994-06-29  edgar/data/818762/0000950134-94-000757.txt          
3COM CORP                                                     10-Q        738076      1994-04-14  edgar/data/738076/0000738076-94-000014.txt          
3COM CORP                                                     8-K/A       738076      1994-04-05  edgar/data/738076/0000738076-94-000012.txt          
59 WALL STREET FUND INC                                       NSAR-A      865898      1994-06-28  edgar/data/865898/0000865898-94-000001.txt          
A L LABORATORIES INC                                          10-Q        730469      1994-05-12  edgar/data/730469/0000730469-94-000002.txt          
A L LABORATORIES INC                                          DEF 14A     730469      1994-04-29  edgar/data/730469/0000950130-94-000679.txt          
A PLUS COMMUNICATIONS INC /TN/                                SC 13G/A    908526      1994-06-07  edgar/data/908526/0000766524-94-000141.txt          
A T OHIO MUNICIPAL MONEY FUND                                 N-30D       751954      1994-05-03  edgar/data/751954/0000751954-94-000004.txt          
A T OHIO MUNICIPAL MONEY FUND                                 NSAR-A      751954      1994-04-29  edgar/data/751954/0000751954-94-000003.txt          
AAR CORP                                                      10-Q        1750        1994-04-14  edgar/data/1750/0000912057-94-001350.txt            
AARP CASH INVESTMENT FUNDS                                    NSAR-A      713331      1994-05-26  edgar/data/713331/0000713331-94-000004.txt          
AARP GROWTH TRUST                                             NSAR-A      747676      1994-05-26  edgar/data/747676/0000747676-94-000001.txt          
AARP INCOME TRUST                                             NSAR-A      747677      1994-05-26  edgar/data/747677/0000747677-94-000001.txt          
AARP TAX FREE INCOME TRUST                                    NSAR-A      747678      1994-05-26  edgar/data/747678/0000747678-94-000001.txt          
ABBOTT LABORATORIES                                           10-Q        1800        1994-05-13  edgar/data/1800/0000912057-94-001717.txt            
ABBOTT LABORATORIES                                           11-K        1800        1994-06-28  edgar/data/1800/0000912057-94-002162.txt            
ACCEPTANCE INSURANCE COMPANIES INC                            10-K/A      74783       1994-06-20  edgar/data/74783/0000074783-94-000013.txt           
ACCEPTANCE INSURANCE COMPANIES INC                            10-Q        74783       1994-05-16  edgar/data/74783/0000074783-94-000008.txt           
ACCEPTANCE INSURANCE COMPANIES INC                            DEF 14A     74783       1994-04-28  edgar/data/74783/0000950124-94-000841.txt           
ACCEPTANCE INSURANCE COMPANIES INC                            NTN 11K     74783       1994-06-30  edgar/data/74783/0000074783-94-000014.txt           
ACCEPTANCE INSURANCE COMPANIES INC                            S-3         74783       1994-04-06  edgar/data/74783/0000074783-94-000007.txt           
ACE HARDWARE CORP                                             10-Q        2024        1994-05-13  edgar/data/2024/0000002024-94-000015.txt            
ACKERLEY COMMUNICATIONS INC                                   10-Q        319120      1994-05-12  edgar/data/319120/0000912057-94-001668.txt          
ACM INSTITUTIONAL RESERVES INC                                NSAR-B      862021      1994-06-29  edgar/data/862021/0000862021-94-000025.txt          
ACM INSTITUTIONAL RESERVES INC                                NSAR-B/A    862021      1994-06-30  edgar/data/862021/0000862021-94-000035.txt          
ACM MANAGED DOLLAR INCOME FUND INC                            NSAR-A      910524      1994-05-27  edgar/data/910524/0000910524-94-000001.txt          
ACM MANAGED DOLLAR INCOME FUND INC                            NSAR-A      910524      1994-06-03  edgar/data/910524/0000921325-94-000010.txt          
ACM MANAGED INCOME FUND INC /NY/                              NSAR-A      838133      1994-04-28  edgar/data/838133/0000921325-94-000005.txt          
ACME METALS INC /DE/                                          10-K/A      883702      1994-06-29  edgar/data/883702/0000912057-94-002192.txt          
ACME METALS INC /DE/                                          10-Q        883702      1994-05-11  edgar/data/883702/0000912057-94-001655.txt          
ACME METALS INC /DE/                                          8-K         883702      1994-04-20  edgar/data/883702/0000912057-94-001417.txt          
ACME METALS INC /DE/                                          S-1         883702      1994-06-10  edgar/data/883702/0000950131-94-001000.txt          
ACME METALS INC /DE/                                          S-3         883702      1994-06-10  edgar/data/883702/0000950131-94-000999.txt          
ACNB CORP                                                     10-Q        715579      1994-05-05  edgar/data/715579/0000950109-94-000781.txt          
ACNB CORP                                                     DEF 14A     715579      1994-04-15  edgar/data/715579/0000950109-94-000687.txt          
ACTAVA GROUP INC                                              10-K/A      39547       1994-05-02  edgar/data/39547/0000950144-94-000940.txt           
ACTAVA GROUP INC                                              10-K/A      39547       1994-06-29  edgar/data/39547/0000950144-94-001292.txt           
ACTAVA GROUP INC                                              10-Q        39547       1994-05-16  edgar/data/39547/0000950144-94-001102.txt           
ACTAVA GROUP INC                                              8-K         39547       1994-04-04  edgar/data/39547/0000950144-94-000818.txt           
ACTAVA GROUP INC                                              8-K         39547       1994-05-04  edgar/data/39547/0000950144-94-000960.txt           
ACTAVA GROUP INC                                              DEF 14A     39547       1994-05-09  edgar/data/39547/0000950144-94-000987.txt           
ACUSON CORP                                                   10-Q        717014      1994-05-16  edgar/data/717014/0000898430-94-000379.txt          
ACUSON CORP                                                   DEF 14A     717014      1994-04-06  edgar/data/717014/0000950131-94-000483.txt          
ADC TELECOMMUNICATIONS INC                                    10-Q        61478       1994-06-15  edgar/data/61478/0000912057-94-002055.txt           
ADDINGTON RESOURCES INC                                       10-Q        810665      1994-05-13  edgar/data/810665/0000950131-94-000627.txt          
ADDINGTON RESOURCES INC                                       DEF 14A     810665      1994-06-10  edgar/data/810665/0000950131-94-000980.txt          
ADELPHIA COMMUNICATIONS CORP                                  10-K        796486      1994-06-29  edgar/data/796486/0000796486-94-000006.txt          
ADELPHIA COMMUNICATIONS CORP                                  8-K         796486      1994-04-27  edgar/data/796486/0000950132-94-000138.txt          
ADELPHIA COMMUNICATIONS CORP                                  8-K         796486      1994-05-03  edgar/data/796486/0000950132-94-000139.txt          
ADELPHIA COMMUNICATIONS CORP                                  8-K         796486      1994-05-06  edgar/data/796486/0000950132-94-000142.txt          
ADELPHIA COMMUNICATIONS CORP                                  8-K         796486      1994-06-03  edgar/data/796486/0000796486-94-000004.txt          
ADELPHIA COMMUNICATIONS CORP                                  S-3         796486      1994-05-02  edgar/data/796486/0000950109-94-000758.txt          
ADELPHIA COMMUNICATIONS CORP                                  S-3/A       796486      1994-05-05  edgar/data/796486/0000950132-94-000141.txt          
ADIA SERVICES INC                                             10-K/A      752200      1994-05-03  edgar/data/752200/0000950109-94-000767.txt          
ADIA SERVICES INC                                             10-Q        752200      1994-05-17  edgar/data/752200/0000898430-94-000387.txt          
ADIENCE INC                                                   10-K        846972      1994-04-04  edgar/data/846972/0000950132-94-000122.txt          
ADIENCE INC                                                   10-K/A      846972      1994-04-29  edgar/data/846972/0000846972-94-000004.txt          
ADIENCE INC                                                   10-Q        846972      1994-05-13  edgar/data/846972/0000846972-94-000010.txt          
ADVANCE PUBLICATIONS INC                                      SC 13D      914546      1994-04-28  edgar/data/914546/0000891836-94-000038.txt          
ADVANCED MICRO DEVICES INC                                    10-K/A      2488        1994-05-03  edgar/data/2488/0000891618-94-000107.txt            
ADVANCED MICRO DEVICES INC                                    10-Q        2488        1994-04-08  edgar/data/2488/0000950131-94-000498.txt            
ADVANCED MICRO DEVICES INC                                    10-Q/A      2488        1994-04-08  edgar/data/2488/0000950131-94-000502.txt            
ADVANCED MICRO DEVICES INC                                    S-3         2488        1994-04-01  edgar/data/2488/0000950005-94-000030.txt            
ADVANCED MICRO DEVICES INC                                    S-3/A       2488        1994-05-16  edgar/data/2488/0000950005-94-000041.txt            
ADVANCED MICRO DEVICES INC                                    SC 13G      2488        1994-04-07  edgar/data/2488/0000315066-94-001072.txt            
ADVANCED TECHNOLOGY LABORATORIES INC/                         10-Q        806086      1994-05-06  edgar/data/806086/0000806086-94-000002.txt          
ADVANCED TECHNOLOGY LABORATORIES INC/                         8-K         806086      1994-05-31  edgar/data/806086/0000806086-94-000004.txt          
ADVANCED TECHNOLOGY LABORATORIES INC/                         S-4EF       806086      1994-04-18  edgar/data/806086/0000950131-94-000522.txt          
ADVANTA CORP                                                  10-Q        96638       1994-05-12  edgar/data/96638/0000096638-94-000007.txt           
ADVANTA CORP                                                  11-K        96638       1994-06-29  edgar/data/96638/0000096638-94-000010.txt           
ADVANTA CORP                                                  424B3       96638       1994-06-16  edgar/data/96638/0000893220-94-000292.txt           
ADVANTA CORP                                                  8-K         96638       1994-04-19  edgar/data/96638/0000096638-94-000006.txt           
ADVANTA CORP                                                  DEF 14A     96638       1994-04-04  edgar/data/96638/0000893220-94-000194.txt           
ADVANTA CORP                                                  S-3         96638       1994-05-04  edgar/data/96638/0000950133-94-000097.txt           
ADVANTA CORP                                                  S-3/A       96638       1994-06-10  edgar/data/96638/0000893220-94-000288.txt           
ADVANTA CORP                                                  S-8         96638       1994-04-21  edgar/data/96638/0000893220-94-000223.txt           
ADVANTAGE GROWTH & TREASURY SECURITIES TRUST SERIES 1         24F-2NT     882609      1994-05-27  edgar/data/882609/0000875626-94-000446.txt          
ADVANTAGE HEALTH CORP                                         SC 13G/A    822668      1994-06-09  edgar/data/822668/0000315066-94-001226.txt          
ADVEST GROUP INC                                              10-Q        319489      1994-05-10  edgar/data/319489/0000319489-94-000008.txt          
ADVEST GROUP INC                                              NTN 11K     319489      1994-06-29  edgar/data/319489/0000319489-94-000010.txt          
ADVEST GROUP INC                                              SC 13D      319489      1994-04-08  edgar/data/319489/0000906602-94-000021.txt          
ADVEST GROUP INC                                              SC 13D      319489      1994-04-08  edgar/data/319489/0000906602-94-000022.txt          
ADVEST GROUP INC                                              SC 13D      319489      1994-04-08  edgar/data/319489/0000906602-94-000023.txt          
ADVEST GROUP INC                                              SC 13D/A    319489      1994-04-08  edgar/data/319489/0000906602-94-000024.txt          
ADVEST GROUP INC                                              SC 13D/A    319489      1994-04-08  edgar/data/319489/0000906602-94-000025.txt          
ADVEST GROUP INC                                              SC 13D/A    319489      1994-04-08  edgar/data/319489/0000906602-94-000026.txt          
ADVISORS FUND L P                                             497         825201      1994-05-16  edgar/data/825201/0000053798-94-000237.txt          
ADVISORS FUND L P                                             497         825201      1994-06-20  edgar/data/825201/0000053798-94-000303.txt          
ADVISORS FUND L P                                             N-30B-2     825201      1994-06-06  edgar/data/825201/0000053798-94-000297.txt          
ADVO INC                                                      10-Q        801622      1994-05-10  edgar/data/801622/0000950109-94-000807.txt          
ADVOCAT INC                                                   SC 13G      919956      1994-06-10  edgar/data/919956/0000068100-94-000331.txt          
AEL INDUSTRIES INC                                            10-K        4911        1994-05-18  edgar/data/4911/0000004911-94-000016.txt            
