,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
Advanced Micro Devices 2008-2,2008,2,1505.0,877.0,-358.0,-0.59,3513.0,11208.0,2738.0,2637.0,317.0,16.0,1404.0,6.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2008-3,2008,3,1349.0,653.0,-1189.0,-1.96,3431.0,9784.0,2468.0,1474.0,627.0,-226.0,1310.0,5.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2008-4,2008,4,1776.0,871.0,-127.0,-0.21,3297.0,9441.0,2392.0,1339.0,920.0,-442.0,1108.0,4.74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2009-2,2009,2,1177.0,666.0,-414.0,-0.66,3971.0,9052.0,2079.0,-163.0,280.0,-391.0,2402.0,3.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2009-3,2009,3,1184.0,743.0,-335.0,-0.49,3713.0,8683.0,2022.0,-465.0,562.0,-535.0,1979.0,3.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2009-4,2009,4,1396.0,811.0,-135.0,-0.18,3918.0,8747.0,2076.0,-569.0,844.0,-677.0,1847.0,5.39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2010-2,2010,2,1574.0,833.0,257.0,0.35,3331.0,5232.0,1645.0,796.0,100.0,23.0,642.0,9.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2010-3,2010,3,1653.0,915.0,-43.0,-0.06,3313.0,4955.0,1630.0,752.0,200.0,-75.0,1084.0,7.39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2010-4,2010,4,1618.0,879.0,-118.0,-0.17,3212.0,4595.0,1665.0,614.0,294.0,-199.0,620.0,7.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advanced Micro Devices 2011-2,2011,2,1613.0,922.0,510.0,0.68,3411.0,5209.0,1375.0,1558.0,88.0,-168.0,602.0,8.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
