,Year,Quarter,Revenue,Cost of sales,Operating expenses,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Stockholders' equity,Cash at beginning of period,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period
Intel Corp 2008-2,2008,2,9673.0,4466.0,3145.0,1443.0,0.25,22064.0,53387.0,8668.0,40660.0,7307.0,1102.0,2215.0,5883.0
Intel Corp 2008-3,2008,3,9470.0,4221.0,2994.0,1601.0,0.28,19778.0,52392.0,8032.0,40361.0,7307.0,2144.0,5043.0,4079.0
Intel Corp 2008-4,2008,4,10217.0,4198.0,2921.0,2014.0,0.35,21423.0,52719.0,10068.0,38911.0,7307.0,3203.0,8330.0,3704.0
Intel Corp 2009-2,2009,2,7145.0,3907.0,2591.0,629.0,0.11,18142.0,48454.0,6341.0,39064.0,3350.0,1208.0,378.0,3536.0
Intel Corp 2009-3,2009,3,8024.0,3945.0,4091.0,-398.0,-0.07,18467.0,49061.0,7079.0,39047.0,3350.0,2419.0,3762.0,3826.0
Intel Corp 2009-4,2009,4,9389.0,3985.0,2825.0,1856.0,0.33,19247.0,50996.0,7749.0,39033.0,3350.0,3572.0,7765.0,4109.0
Intel Corp 2010-2,2010,2,10299.0,3770.0,3081.0,2442.0,0.43,23724.0,55773.0,8912.0,42900.0,3987.0,1080.0,4079.0,4988.0
Intel Corp 2010-3,2010,3,10765.0,3530.0,3254.0,2887.0,0.51,26464.0,57691.0,7937.0,45841.0,3987.0,2166.0,7565.0,5514.0
Intel Corp 2010-4,2010,4,11102.0,3781.0,3185.0,2955.0,0.52,29499.0,60588.0,8837.0,47696.0,3987.0,3252.0,11142.0,5517.0
Intel Corp 2011-2,2011,2,12847.0,4962.0,3727.0,3160.0,0.56,22795.0,65552.0,11565.0,47349.0,5498.0,1287.0,4013.0,4188.0
Intel Corp 2011-3,2011,3,13032.0,5130.0,3967.0,2954.0,0.54,23102.0,66089.0,10354.0,48723.0,5498.0,2535.0,7984.0,4635.0
Intel Corp 2011-4,2011,4,14233.0,5215.0,4233.0,3468.0,0.65,26698.0,70551.0,11909.0,46117.0,5498.0,3808.0,14333.0,7057.0
Intel Corp 2012-2,2012,2,12906.0,4641.0,4455.0,2738.0,0.53,25421.0,71817.0,11941.0,46760.0,5065.0,1519.0,2972.0,4429.0
Intel Corp 2012-3,2012,3,13501.0,4947.0,4722.0,2827.0,0.54,25785.0,72352.0,10538.0,48779.0,5065.0,3091.0,7711.0,5223.0
Intel Corp 2012-4,2012,4,13457.0,4942.0,4674.0,2972.0,0.58,23014.0,74441.0,11953.0,49269.0,5065.0,4716.0,12858.0,3520.0
Intel Corp 2013-2,2013,2,12580.0,5514.0,4547.0,2045.0,0.4,28677.0,83083.0,11798.0,51194.0,8478.0,1682.0,4285.0,5698.0
Intel Corp 2013-3,2013,3,12811.0,5341.0,4751.0,2000.0,0.39,29048.0,85661.0,11389.0,53840.0,8478.0,3394.0,9007.0,3778.0
Intel Corp 2013-4,2013,4,13483.0,5069.0,4910.0,2950.0,0.58,31350.0,90551.0,13875.0,55452.0,8478.0,5123.0,14738.0,4881.0
Intel Corp 2014-2,2014,2,12764.0,5151.0,5103.0,1930.0,0.38,30554.0,91932.0,13552.0,58038.0,5674.0,1720.0,3501.0,4777.0
Intel Corp 2014-3,2014,3,13831.0,4914.0,5073.0,2796.0,0.55,29006.0,91793.0,12251.0,59247.0,5674.0,3600.0,8954.0,3049.0
Intel Corp 2014-4,2014,4,14554.0,5096.0,4918.0,3317.0,0.66,27509.0,90616.0,14904.0,56073.0,5674.0,5491.0,14647.0,3143.0
Intel Corp 2015-2,2015,2,12781.0,5051.0,5115.0,1992.0,0.41,26466.0,89566.0,15035.0,54924.0,2561.0,1848.0,4415.0,4244.0
Intel Corp 2015-3,2015,3,13195.0,4947.0,5352.0,2706.0,0.55,26710.0,90492.0,13529.0,57695.0,2561.0,3825.0,7855.0,4454.0
Intel Corp 2015-4,2015,4,14465.0,5354.0,4919.0,3109.0,0.64,36205.0,98552.0,15080.0,57097.0,2561.0,5885.0,13590.0,7065.0
Intel Corp 2016-2,2016,2,13702.0,5572.0,5562.0,2046.0,0.42,27397.0,105467.0,17526.0,61174.0,15308.0,1619.0,4055.0,3061.0
Intel Corp 2016-3,2016,3,13533.0,5560.0,6655.0,1330.0,0.27,31188.0,109831.0,18711.0,61367.0,15308.0,3141.0,7900.0,3885.0
Intel Corp 2016-4,2016,4,15778.0,5795.0,5521.0,3378.0,0.69,36216.0,112217.0,20093.0,63115.0,15308.0,4684.0,13658.0,4752.0
Intel Corp 2017-2,2017,2,14796.0,5649.0,5548.0,2964.0,0.61,36058.0,115648.0,21305.0,66844.0,5560.0,1625.0,3898.0,4934.0
Intel Corp 2017-3,2017,3,14763.0,5665.0,5271.0,2808.0,0.58,40617.0,122107.0,18782.0,68625.0,5560.0,3300.0,8605.0,11687.0
Intel Corp 2017-4,2017,4,16149.0,6092.0,4942.0,4516.0,0.94,33154.0,127088.0,20689.0,70936.0,5560.0,4990.0,14869.0,9075.0
Intel Corp 2018-2,2018,2,16066.0,6335.0,5261.0,4454.0,0.93,31630.0,128596.0,19961.0,70165.0,3433.0,1806.0,6284.0,3554.0
Intel Corp 2018-3,2018,3,16962.0,6543.0,5146.0,5006.0,1.05,27603.0,125972.0,17571.0,70047.0,3433.0,3536.0,13697.0,2614.0
Intel Corp 2018-4,2018,4,19163.0,6803.0,5011.0,6398.0,1.38,29590.0,128242.0,19574.0,71483.0,3433.0,5420.0,22532.0,3407.0
