,EPS,Income,Ebitda
1, 4.18, 19965, 26741
2, 2.95, 14125, 18872
3, 2.34, 11519, 15277
4, 2.73, 13822, 18633
5, 3.89, 20065, 29019
6, 2.08, 10714, 15604
7, 1.67, 8717, 13122
8, 2.10, 11029, 16429
9, 3.36, 17891, 26346
10, 1.71, 9014, 14309
11, 1.42, 7796, 12631
12, 1.90, 10516, 16464
13, 3.28, 18361, 27125
14, 1.98, 11124, 17742
15, 1.85, 10677, 17167
16, 2.33, 13569, 20757
17, 3.06, 18024, 26821
18, 1.44, 8467, 13134
19, 1.28, 7748, 12228
20, 1.66, 10223, 15480
21, 2.07, 13072, 19607
22, 1.20, 7512, 11813
23, 1.07, 6900, 10895
24, 1.44, 9547, 14250
25, 1.97, 13078, 18798
26, 1.24, 8223, 11925
27, 1.33, 8824, 12408
28, 1.76, 11622, 16124
29, 1.98, 13064, 18061
30, 1.01, 6623, 9253
31, 1.11, 7308, 9860
32, 0.91, 5987, 8308
33, 0.92, 6004, 8183
34, 0.66, 4308, 5776
35, 0.50, 3253, 4507
36, 0.48, 3074, 4195
37, 0.52, 3378, 4934
38, 0.40, 2532, 3887
39, 0.29, 1828, 2814
40, 0.26, 1620, 2504
