,Year,Month,Day,AMZN,AMD,AAPL,CSCO,GOOGL,IBM,INTC,NVDA,TXN
0,2008,1,2,96.25,7.14,24.2913,20.695999999999998,342.9379,73.8738,17.5161,30.4223,24.1292
1,2008,1,3,95.21,6.77,24.3026,20.8598,343.00800000000004,74.02199999999999,17.0463,30.1827,23.5996
2,2008,1,4,88.79,6.25,22.4474,20.3685,328.8288,71.3617,15.6643,27.6483,22.7717
3,2008,1,7,88.82,6.08,22.147,20.3763,324.95,70.5996,15.8094,24.7913,22.7419
4,2008,1,8,87.88,6.0,21.3503,19.8305,316.1562,68.8637,15.380999999999998,25.3166,22.7493
5,2008,1,9,85.22,5.53,22.3664,20.4621,326.9269,69.3718,15.7196,26.6253,22.7344
6,2008,1,10,84.26,5.96,22.1943,20.4621,323.6887,70.5079,15.5745,26.0723,22.6971
7,2008,1,11,81.08,6.25,21.5298,20.1736,319.4445,68.9202,15.1945,24.9295,22.3018
8,2008,1,14,82.87,6.41,22.2891,20.5011,327.2372,72.6318,15.9476,26.5884,22.6747
9,2008,1,15,80.24,6.12,21.0748,20.158,319.1441,71.8556,15.6781,24.6346,22.1675
10,2008,1,16,80.35,6.57,19.9029,19.6121,308.2833,71.7145,13.7365,21.8514,22.0035
11,2008,1,17,80.12,6.34,20.0587,18.9727,300.6957,71.3405,13.3565,21.4735,21.8468
12,2008,1,18,79.76,7.07,20.1173,18.9493,300.4254,72.9635,13.1285,22.8928,21.9736
13,2008,1,22,78.48,6.83,19.4042,18.3098,292.4675,71.4252,12.859000000000002,21.75,21.6156
14,2008,1,23,73.97,7.56,17.3383,18.7387,274.5846,74.8687,13.8056,22.1463,22.6002
15,2008,1,24,77.67,7.58,16.9057,19.5809,287.5325,75.4403,14.2962,23.842,22.6897
16,2008,1,25,77.6,7.15,16.2088,18.8713,283.4835,73.7538,13.8194,22.9942,22.2198
17,2008,1,28,75.82,7.46,16.2088,18.7933,278.2683,74.0784,14.0198,22.7177,22.6151
18,2008,1,29,73.95,7.61,16.3995,18.7621,275.5355,74.8687,14.1649,23.4181,22.7273
