,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,Amazon,AMD,Apple,Cisco,Google,IBM,Intel,Nvidia,TI
Texas Instruments 2008-2,2008,2,3272.0,1516.0,662.0,0.49,5975.0,12338.0,1848.0,9857.0,241.0,641.0,1450.0,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2008-3,2008,3,3351.0,1602.0,588.0,0.44,6010.0,12382.0,1760.0,9984.0,487.0,1160.0,1317.0,27.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2008-4,2008,4,3387.0,1744.0,563.0,0.43,6212.0,12466.0,1738.0,10094.0,738.0,2212.0,1715.0,21.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2009-2,2009,2,2086.0,1280.0,17.0,0.01,5532.0,11520.0,1287.0,9210.0,230.0,251.0,1436.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2009-3,2009,3,2457.0,1333.0,260.0,0.2,5740.0,11510.0,1468.0,9213.0,451.0,808.0,1765.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2009-4,2009,4,2880.0,1399.0,538.0,0.42,6138.0,11903.0,1662.0,9438.0,668.0,1642.0,1294.0,22.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2010-2,2010,2,3205.0,1516.0,658.0,0.52,6323.0,12370.0,1719.0,9805.0,211.0,710.0,1217.0,24.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2010-3,2010,3,3496.0,1602.0,769.0,0.62,6130.0,12164.0,1538.0,9755.0,426.0,1272.0,1138.0,23.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2010-4,2010,4,3740.0,1701.0,859.0,0.71,6468.0,12649.0,1838.0,9962.0,639.0,2590.0,1093.0,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Texas Instruments 2011-2,2011,2,3392.0,1664.0,666.0,0.55,7044.0,13310.0,1793.0,10574.0,224.0,516.0,1343.0,34.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
